series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG080015-15,90-95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG072330-30,90-95c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG072130-30,90-95c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG072030-30,90-95c,no,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG072030-30,85-89c,no,89,420,True,4.02,True
KXBTC15M,KXBTC15M-26AUG072000-00,85-89c,yes,89,420,True,4.02,True
KXBTC15M,KXBTC15M-26AUG072000-00,90-95c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG071900-00,85-89c,yes,87,540,True,4.86,True
KXBTC15M,KXBTC15M-26AUG071900-00,80-84c,yes,80,300,True,8.14,True
KXBTC15M,KXBTC15M-26AUG071900-00,90-95c,yes,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG071845-45,90-95c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG071800-00,90-95c,no,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG071730-30,85-89c,no,88,540,False,-35,True
KXBTC15M,KXBTC15M-26AUG071730-30,90-95c,no,93,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG071700-00,75-79c,yes,75,240,True,10.85,True
KXBTC15M,KXBTC15M-26AUG071645-45,90-95c,no,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG071530-30,90-95c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG071515-15,85-89c,yes,88,600,True,4.44,True
KXBTC15M,KXBTC15M-26AUG071515-15,90-95c,yes,93,540,True,2.45,True
KXBTC15M,KXBTC15M-26AUG071445-45,90-95c,no,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG071430-30,90-95c,no,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG071415-15,90-95c,yes,90,600,True,3.62,True
KXBTC15M,KXBTC15M-26AUG071030-30,90-95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG071015-15,90-95c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG070945-45,90-95c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG070900-00,90-95c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070745-45,75-79c,no,78,480,True,9.18,True
KXBTC15M,KXBTC15M-26AUG070715-15,90-95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070545-45,90-95c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070515-15,90-95c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070500-00,90-95c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070430-30,85-89c,yes,87,360,True,4.86,True
KXBTC15M,KXBTC15M-26AUG070430-30,90-95c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070300-00,90-95c,no,91,480,True,3.22,True
KXBTC15M,KXBTC15M-26AUG070300-00,80-84c,no,84,300,True,6.2,True
KXBTC15M,KXBTC15M-26AUG070245-45,85-89c,no,88,540,True,4.44,True
KXBTC15M,KXBTC15M-26AUG070245-45,75-79c,no,77,480,True,9.72,True
KXBTC15M,KXBTC15M-26AUG070200-00,90-95c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070145-45,90-95c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG070130-30,90-95c,no,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070100-00,90-95c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG062230-30,80-84c,yes,82,600,False,-35,True
KXBTC15M,KXBTC15M-26AUG062200-00,90-95c,yes,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG062115-15,90-95c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG062115-15,85-89c,yes,86,480,True,5.3,True
KXBTC15M,KXBTC15M-26AUG062045-45,80-84c,yes,81,480,True,7.64,True
KXBTC15M,KXBTC15M-26AUG062015-15,90-95c,yes,95,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG061945-45,90-95c,no,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061745-45,85-89c,no,89,240,False,-35,True
KXBTC15M,KXBTC15M-26AUG061745-45,90-95c,no,94,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG061715-15,90-95c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061715-15,80-84c,yes,82,300,True,7.15,True
KXBTC15M,KXBTC15M-26AUG061630-30,85-89c,no,88,480,True,4.44,True
KXBTC15M,KXBTC15M-26AUG061630-30,80-84c,no,80,420,True,8.14,True
KXBTC15M,KXBTC15M-26AUG061630-30,90-95c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061615-15,90-95c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG061515-15,90-95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG061445-45,80-84c,no,81,420,True,7.64,True
KXBTC15M,KXBTC15M-26AUG061445-45,90-95c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061415-15,90-95c,no,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26AUG061400-00,90-95c,yes,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG061045-45,90-95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG060830-30,90-95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG060815-15,85-89c,no,89,600,True,4.02,True
KXBTC15M,KXBTC15M-26AUG060815-15,90-95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG060800-00,90-95c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG060745-45,85-89c,yes,85,540,True,5.74,True
KXBTC15M,KXBTC15M-26AUG060745-45,90-95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG060730-30,85-89c,yes,87,600,True,4.86,True
KXBTC15M,KXBTC15M-26AUG060730-30,90-95c,yes,90,480,True,3.62,True
KXBTC15M,KXBTC15M-26AUG060730-30,75-79c,yes,75,300,True,10.85,True
KXBTC15M,KXBTC15M-26AUG060715-15,90-95c,no,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG060630-30,90-95c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG060615-15,80-84c,no,83,420,True,6.67,True
KXBTC15M,KXBTC15M-26AUG060615-15,90-95c,no,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG060600-00,80-84c,yes,81,180,True,7.64,True
KXBTC15M,KXBTC15M-26AUG060545-45,90-95c,no,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26AUG060530-30,90-95c,yes,93,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG060515-15,90-95c,no,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG060200-00,90-95c,no,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG052230-30,90-95c,no,91,480,True,3.22,True
KXBTC15M,KXBTC15M-26AUG052230-30,85-89c,no,85,360,True,5.74,True
KXBTC15M,KXBTC15M-26AUG052200-00,90-95c,yes,95,600,True,1.71,True
KXBTC15M,KXBTC15M-26AUG052145-45,90-95c,yes,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26AUG052130-30,90-95c,no,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG052115-15,90-95c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG052115-15,85-89c,no,86,300,True,5.3,True
KXBTC15M,KXBTC15M-26AUG051715-15,85-89c,no,89,360,True,4.02,True
KXBTC15M,KXBTC15M-26AUG051700-00,90-95c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG051615-15,75-79c,no,75,300,False,-35,True
KXBTC15M,KXBTC15M-26AUG051515-15,90-95c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG051500-00,90-95c,no,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG051445-45,90-95c,yes,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG051415-15,90-95c,no,93,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG050945-45,90-95c,no,93,540,False,-35,True
KXBTC15M,KXBTC15M-26AUG050930-30,80-84c,yes,83,480,True,6.67,True
KXBTC15M,KXBTC15M-26AUG050930-30,90-95c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG050930-30,85-89c,yes,85,300,True,5.74,True
KXBTC15M,KXBTC15M-26AUG050915-15,90-95c,no,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050845-45,80-84c,no,81,540,True,7.64,True
