series,ticker,side,ask,secs_left,prior_asks,accel,won,profit
KXBTC15M,KXBTC15M-26AUG082330-30,yes,92,240,"90,91,96",True,True,3.64
KXBTC15M,KXBTC15M-26AUG082215-15,no,90,300,"94,86,89",False,True,4.65
KXBTC15M,KXBTC15M-26AUG082200-00,no,90,360,"83,93,91",False,True,4.65
KXBTC15M,KXBTC15M-26AUG082145-45,yes,90,300,"89,82,81",False,True,4.65
KXBTC15M,KXBTC15M-26AUG082130-30,no,95,300,"80,92,94",True,True,2.2
KXBTC15M,KXBTC15M-26AUG082045-45,yes,92,300,"89,94,96",True,True,3.64
KXBTC15M,KXBTC15M-26AUG081945-45,yes,91,360,"86,91,90",False,True,4.14
KXBTC15M,KXBTC15M-26AUG081930-30,yes,90,480,"81,80,85",False,False,-45
KXBTC15M,KXBTC15M-26AUG081845-45,no,94,240,"81,85,88",True,True,2.67
KXBTC15M,KXBTC15M-26AUG081630-30,no,94,240,"83,93,94",True,True,2.67
KXBTC15M,KXBTC15M-26AUG081545-45,yes,94,240,"81,82,94",True,True,2.67
KXBTC15M,KXBTC15M-26AUG081430-30,no,90,480,"81,90,90",True,True,4.65
KXBTC15M,KXBTC15M-26AUG081045-45,yes,94,420,"83,87,91",True,False,-45
KXBTC15M,KXBTC15M-26AUG080945-45,no,91,240,"84,88,91",True,True,4.14
KXBTC15M,KXBTC15M-26AUG080900-00,yes,91,300,"83,86,87",True,False,-45
KXBTC15M,KXBTC15M-26AUG080730-30,no,95,480,"83,83,94",True,True,2.2
KXBTC15M,KXBTC15M-26AUG080600-00,no,94,420,"83,86,88",True,True,2.67
KXBTC15M,KXBTC15M-26AUG080530-30,yes,90,300,"80,85,87",True,True,4.65
KXBTC15M,KXBTC15M-26AUG080500-00,no,94,300,"80,84,88",True,True,2.67
KXBTC15M,KXBTC15M-26AUG080445-45,yes,90,420,"92,87,85",False,True,4.65
KXBTC15M,KXBTC15M-26AUG080300-00,yes,95,540,"82,83,89",True,True,2.2
KXBTC15M,KXBTC15M-26AUG080200-00,no,94,360,"84,93,96",True,True,2.67
KXBTC15M,KXBTC15M-26AUG080100-00,no,93,300,"83,84,87",True,True,3.15
KXBTC15M,KXBTC15M-26AUG080015-15,no,95,360,"87,86,89",False,True,2.2
KXBTC15M,KXBTC15M-26AUG072330-30,yes,94,480,"85,92,93",True,True,2.67
KXBTC15M,KXBTC15M-26AUG072130-30,no,92,360,"81,90,90",True,True,3.64
KXBTC15M,KXBTC15M-26AUG072030-30,no,91,540,"82,82,90",True,True,4.14
KXBTC15M,KXBTC15M-26AUG072000-00,yes,92,360,"83,82,89",False,True,3.64
KXBTC15M,KXBTC15M-26AUG071900-00,yes,91,180,"96,80,86",False,True,4.14
KXBTC15M,KXBTC15M-26AUG071845-45,no,93,360,"88,90,96",True,True,3.15
KXBTC15M,KXBTC15M-26AUG071800-00,no,92,480,"82,85,88",True,True,3.64
KXBTC15M,KXBTC15M-26AUG071730-30,no,93,420,"83,88,89",True,False,-45
KXBTC15M,KXBTC15M-26AUG071645-45,no,95,240,"82,85,85",True,True,2.2
KXBTC15M,KXBTC15M-26AUG071530-30,yes,93,480,"80,83,92",True,True,3.15
KXBTC15M,KXBTC15M-26AUG071515-15,yes,93,540,"83,86,88",True,True,3.15
KXBTC15M,KXBTC15M-26AUG071445-45,no,93,180,"95,95,97",True,True,3.15
KXBTC15M,KXBTC15M-26AUG071430-30,no,90,360,"83,91,81",False,True,4.65
KXBTC15M,KXBTC15M-26AUG071415-15,yes,90,600,"80,84,86",True,True,4.65
KXBTC15M,KXBTC15M-26AUG071030-30,yes,95,420,"89,94,96",True,True,2.2
KXBTC15M,KXBTC15M-26AUG071015-15,no,92,420,"85,90,86",False,True,3.64
KXBTC15M,KXBTC15M-26AUG070945-45,yes,91,540,"85,88,90",True,True,4.14
KXBTC15M,KXBTC15M-26AUG070900-00,yes,93,480,"82,80,90",False,True,3.15
KXBTC15M,KXBTC15M-26AUG070715-15,yes,95,480,"85,90,92",True,True,2.2
KXBTC15M,KXBTC15M-26AUG070545-45,yes,94,540,"89,90,89",False,True,2.67
KXBTC15M,KXBTC15M-26AUG070515-15,yes,94,540,"87,91,93",True,True,2.67
KXBTC15M,KXBTC15M-26AUG070500-00,no,93,240,"86,90,90",True,True,3.15
KXBTC15M,KXBTC15M-26AUG070430-30,yes,93,300,"87,87,87",True,True,3.15
KXBTC15M,KXBTC15M-26AUG070300-00,no,91,480,"81,83,84",True,True,4.14
KXBTC15M,KXBTC15M-26AUG070200-00,yes,94,420,"83,93,96",True,True,2.67
