series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG071445-45,93c,no,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG071430-30,90c,no,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG071415-15,90c,yes,90,600,True,3.62,True
KXBTC15M,KXBTC15M-26AUG071415-15,91c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG071415-15,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG071415-15,94c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG071030-30,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG071015-15,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG071015-15,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070945-45,91c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG070900-00,93c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070900-00,94c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070715-15,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070545-45,94c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070545-45,95c,yes,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070515-15,94c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070515-15,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070500-00,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070430-30,93c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070300-00,91c,no,91,480,True,3.22,True
KXBTC15M,KXBTC15M-26AUG070300-00,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG070200-00,94c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG070200-00,95c,yes,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070145-45,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG070145-45,93c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070130-30,95c,no,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG070100-00,93c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG070100-00,91c,no,91,240,True,3.22,True
KXBTC15M,KXBTC15M-26AUG070100-00,92c,no,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG062200-00,92c,yes,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG062115-15,91c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG062115-15,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG062015-15,95c,yes,95,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG061945-45,93c,no,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061745-45,94c,no,94,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG061715-15,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061630-30,93c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061615-15,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG061515-15,95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG061445-45,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG061415-15,92c,no,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26AUG061400-00,94c,yes,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG061045-45,95c,yes,95,480,True,1.71,True
