series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26AUG091330-30,yes,90,17,180,True,4.65
KXBTC15M,KXBTC15M-26AUG091245-45,yes,92,16,540,True,3.64
KXBTC15M,KXBTC15M-26AUG091215-15,yes,92,16,300,True,3.64
KXBTC15M,KXBTC15M-26AUG091115-15,no,94,15,360,True,2.67
KXBTC15M,KXBTC15M-26AUG081345-45,yes,91,17,360,True,4.14
KXBTC15M,KXBTC15M-26AUG081330-30,no,90,17,300,True,4.65
KXBTC15M,KXBTC15M-26AUG081245-45,no,92,16,480,True,3.64
KXBTC15M,KXBTC15M-26AUG081200-00,yes,95,16,300,True,2.2
KXBTC15M,KXBTC15M-26AUG081130-30,no,90,15,360,True,4.65
KXBTC15M,KXBTC15M-26AUG081115-15,no,95,15,300,True,2.2
KXBTC15M,KXBTC15M-26AUG081100-00,yes,91,15,480,True,4.14
KXBTC15M,KXBTC15M-26AUG071215-15,yes,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26AUG061130-30,no,94,15,420,True,2.67
KXBTC15M,KXBTC15M-26AUG061100-00,no,93,15,360,True,3.15
KXBTC15M,KXBTC15M-26AUG051300-00,no,94,17,300,True,2.67
KXBTC15M,KXBTC15M-26AUG051230-30,yes,95,16,420,True,2.2
KXBTC15M,KXBTC15M-26AUG051215-15,yes,92,16,360,True,3.64
KXBTC15M,KXBTC15M-26AUG051130-30,no,94,15,180,True,2.67
KXBTC15M,KXBTC15M-26AUG041315-15,yes,94,17,540,True,2.67
KXBTC15M,KXBTC15M-26AUG041215-15,no,94,16,420,True,2.67
KXBTC15M,KXBTC15M-26AUG041200-00,yes,95,16,300,True,2.2
KXBTC15M,KXBTC15M-26AUG041145-45,no,92,15,480,False,-45
KXBTC15M,KXBTC15M-26AUG031300-00,yes,91,17,600,True,4.14
KXBTC15M,KXBTC15M-26AUG031215-15,yes,92,16,540,True,3.64
KXBTC15M,KXBTC15M-26AUG021245-45,yes,92,16,600,True,3.64
KXBTC15M,KXBTC15M-26AUG021145-45,yes,90,15,300,True,4.65
KXBTC15M,KXBTC15M-26AUG021115-15,yes,94,15,240,True,2.67
KXBTC15M,KXBTC15M-26AUG011345-45,no,95,17,240,True,2.2
KXBTC15M,KXBTC15M-26AUG011315-15,yes,94,17,540,False,-45
KXBTC15M,KXBTC15M-26AUG011245-45,yes,95,16,360,True,2.2
KXBTC15M,KXBTC15M-26AUG011230-30,no,92,16,420,True,3.64
KXBTC15M,KXBTC15M-26AUG011215-15,no,91,16,540,True,4.14
