series,ticker,side,ask,bucket,secs_left,prior_stuck,won,profit
KXBTC15M,KXBTC15M-26AUG090015-15,yes,82,80-85c,480,"60,57,63,62",True,9.19
KXBTC15M,KXBTC15M-26AUG090000-00,no,85,80-85c,360,"57,58,60,62",True,7.39
KXBTC15M,KXBTC15M-26AUG082345-45,yes,85,80-85c,300,"39,37,39,42",True,7.39
KXBTC15M,KXBTC15M-26AUG082300-00,no,72,70-74c,540,"49,59,51,54",False,-45
KXBTC15M,KXBTC15M-26AUG082245-45,no,66,65-69c,360,"51,63,63,61",True,21.56
KXBTC15M,KXBTC15M-26AUG082200-00,no,83,80-85c,540,"43,46,44,54",True,8.57
KXBTC15M,KXBTC15M-26AUG082045-45,yes,66,65-69c,600,"55,51,52,53",True,21.56
KXBTC15M,KXBTC15M-26AUG082030-30,yes,65,65-69c,540,"50,50,51,59",True,22.53
KXBTC15M,KXBTC15M-26AUG082000-00,no,75,75-79c,480,"53,50,43,41",True,13.95
KXBTC15M,KXBTC15M-26AUG081915-15,no,66,65-69c,480,"52,56,58,64",True,21.56
KXBTC15M,KXBTC15M-26AUG081900-00,no,79,75-79c,480,"55,54,54,59",True,11.12
KXBTC15M,KXBTC15M-26AUG081845-45,no,65,65-69c,540,"45,62,60,62",True,22.53
KXBTC15M,KXBTC15M-26AUG081745-45,yes,75,75-79c,540,"43,39,37,62",True,13.95
KXBTC15M,KXBTC15M-26AUG081730-30,no,69,65-69c,540,"62,64,54,58",True,18.8
KXBTC15M,KXBTC15M-26AUG081715-15,no,83,80-85c,360,"59,56,56,54",True,8.57
KXBTC15M,KXBTC15M-26AUG081630-30,no,67,65-69c,600,"37,41,46,65",True,20.61
KXBTC15M,KXBTC15M-26AUG081600-00,yes,73,70-74c,600,"45,48,45,50",True,15.48
KXBTC15M,KXBTC15M-26AUG081545-45,yes,67,65-69c,600,"39,50,61,56",True,20.61
KXBTC15M,KXBTC15M-26AUG081500-00,no,67,65-69c,420,"52,40,44,64",True,20.61
KXBTC15M,KXBTC15M-26AUG081445-45,yes,76,75-79c,600,"54,53,49,51",True,13.22
KXBTC15M,KXBTC15M-26AUG081415-15,no,66,65-69c,420,"54,60,58,63",True,21.56
KXBTC15M,KXBTC15M-26AUG081400-00,no,83,80-85c,360,"57,58,57,50",True,8.57
KXBTC15M,KXBTC15M-26AUG081030-30,yes,67,65-69c,420,"40,40,37,44",True,20.61
KXBTC15M,KXBTC15M-26AUG081015-15,yes,70,70-74c,540,"52,52,49,60",True,17.94
KXBTC15M,KXBTC15M-26AUG080915-15,yes,69,65-69c,480,"64,62,49,62",True,18.8
KXBTC15M,KXBTC15M-26AUG080900-00,yes,81,80-85c,540,"51,52,48,52",False,-45
KXBTC15M,KXBTC15M-26AUG080745-45,no,69,65-69c,300,"55,53,57,61",True,18.8
KXBTC15M,KXBTC15M-26AUG080700-00,yes,75,75-79c,360,"49,55,57,59",False,-45
KXBTC15M,KXBTC15M-26AUG080645-45,no,67,65-69c,480,"46,58,55,43",True,20.61
KXBTC15M,KXBTC15M-26AUG080630-30,yes,66,65-69c,360,"56,59,53,57",True,21.56
KXBTC15M,KXBTC15M-26AUG080615-15,yes,83,80-85c,360,"51,55,58,57",True,8.57
KXBTC15M,KXBTC15M-26AUG080600-00,no,83,80-85c,600,"49,45,43,62",True,8.57
KXBTC15M,KXBTC15M-26AUG080415-15,no,66,65-69c,360,"61,61,62,64",False,-45
KXBTC15M,KXBTC15M-26AUG080330-30,yes,75,75-79c,300,"48,60,59,61",True,13.95
