series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG052230-30,91c,no,91,480,True,3.22,True
KXBTC15M,KXBTC15M-26AUG052230-30,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG052200-00,95c,yes,95,600,True,1.71,True
KXBTC15M,KXBTC15M-26AUG052200-00,90c,yes,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG052200-00,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG052145-45,90c,yes,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26AUG052130-30,91c,no,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG052130-30,92c,no,92,300,True,2.83,True
KXBTC15M,KXBTC15M-26AUG052115-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG051700-00,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG051700-00,95c,no,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG051700-00,93c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG051515-15,94c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG051500-00,92c,no,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG051445-45,93c,yes,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG051415-15,93c,no,93,180,False,-35,True
KXBTC15M,KXBTC15M-26AUG050945-45,93c,no,93,540,False,-35,True
KXBTC15M,KXBTC15M-26AUG050945-45,95c,no,95,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG050945-45,91c,no,91,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG050930-30,90c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG050930-30,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG050915-15,94c,no,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050845-45,91c,no,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG050830-30,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG050700-00,94c,no,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050545-45,95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG050545-45,91c,yes,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG050530-30,94c,yes,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050515-15,92c,yes,92,240,True,2.83,True
KXBTC15M,KXBTC15M-26AUG050330-30,95c,no,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG050300-00,94c,no,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050215-15,92c,no,92,300,True,2.83,True
KXBTC15M,KXBTC15M-26AUG050145-45,93c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG050045-45,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG050045-45,91c,yes,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG050045-45,93c,yes,93,180,True,2.45,True
KXBTC15M,KXBTC15M-26AUG050015-15,94c,no,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG050000-00,95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042215-15,90c,yes,90,480,True,3.62,True
KXBTC15M,KXBTC15M-26AUG042215-15,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042145-45,92c,yes,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG042130-30,95c,yes,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042130-30,90c,yes,90,180,True,3.62,True
KXBTC15M,KXBTC15M-26AUG042100-00,95c,no,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042100-00,94c,no,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG042045-45,92c,yes,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26AUG042045-45,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042045-45,94c,yes,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG042015-15,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG042015-15,94c,no,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG042000-00,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG041830-30,91c,no,91,300,False,-35,True
KXBTC15M,KXBTC15M-26AUG041700-00,93c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041645-45,93c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041645-45,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041630-30,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041630-30,94c,no,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG041630-30,91c,no,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG041630-30,90c,no,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26AUG041615-15,93c,no,93,600,True,2.45,True
KXBTC15M,KXBTC15M-26AUG041615-15,92c,no,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG041615-15,95c,no,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041515-15,94c,yes,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG041430-30,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041415-15,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG041000-00,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG041000-00,95c,no,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG040915-15,95c,yes,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG040815-15,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040815-15,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG040800-00,93c,yes,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG040700-00,94c,yes,94,600,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040615-15,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040615-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040445-45,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040445-45,94c,no,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040430-30,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG040400-00,91c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040400-00,93c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG040345-45,91c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040345-45,90c,yes,90,480,True,3.62,True
KXBTC15M,KXBTC15M-26AUG040345-45,94c,yes,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040330-30,94c,no,94,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG040330-30,95c,no,95,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG040300-00,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040300-00,93c,no,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26AUG040200-00,94c,no,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040200-00,92c,no,92,240,True,2.83,True
KXBTC15M,KXBTC15M-26AUG040100-00,95c,yes,95,360,False,-35,True
KXBTC15M,KXBTC15M-26AUG040100-00,94c,yes,94,240,False,-35,True
KXBTC15M,KXBTC15M-26AUG040045-45,91c,yes,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040030-30,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG040030-30,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG032345-45,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG032215-15,92c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG032145-45,95c,yes,95,600,True,1.71,True
KXBTC15M,KXBTC15M-26AUG032145-45,90c,yes,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG032115-15,95c,yes,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG032115-15,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031945-45,91c,no,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG031930-30,94c,yes,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG031900-00,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031830-30,91c,yes,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG031815-15,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG031815-15,94c,no,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG031715-15,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031715-15,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG031630-30,90c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG031630-30,92c,yes,92,240,True,2.83,True
KXBTC15M,KXBTC15M-26AUG031430-30,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG031430-30,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG030930-30,95c,yes,95,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG030930-30,93c,yes,93,240,False,-35,True
KXBTC15M,KXBTC15M-26AUG030815-15,91c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030815-15,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26AUG030800-00,91c,no,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030745-45,90c,yes,90,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG030715-15,92c,no,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030645-45,92c,no,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030645-45,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG030645-45,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG030615-15,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG030615-15,95c,no,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG030600-00,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030600-00,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG030230-30,91c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030030-30,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030030-30,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG030000-00,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG022245-45,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG022245-45,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG022200-00,95c,no,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG022115-15,90c,no,90,180,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021930-30,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG021915-15,94c,no,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021815-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG021815-15,93c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG021815-15,90c,yes,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021700-00,91c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG021700-00,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG021600-00,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021500-00,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG021500-00,93c,no,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG021030-30,90c,yes,90,480,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021015-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021015-15,90c,no,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26AUG020930-30,91c,no,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26AUG020930-30,92c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG020845-45,95c,no,95,240,True,1.71,True
