series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXGOLD15M,KXGOLD15M-26AUG052300-00,85-89c,no,85,480,True,5.74,True
KXGOLD15M,KXGOLD15M-26AUG052300-00,90-95c,no,92,420,True,2.83,True
KXGOLD15M,KXGOLD15M-26AUG052245-45,85-89c,no,87,600,True,4.86,True
KXGOLD15M,KXGOLD15M-26AUG052245-45,80-84c,no,84,540,True,6.2,True
KXGOLD15M,KXGOLD15M-26AUG052245-45,90-95c,no,91,480,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG052215-15,90-95c,yes,95,180,True,1.71,True
KXGOLD15M,KXGOLD15M-26AUG052200-00,90-95c,yes,91,480,False,-35,True
KXGOLD15M,KXGOLD15M-26AUG052200-00,75-79c,yes,79,420,False,-35,True
KXGOLD15M,KXGOLD15M-26AUG052145-45,85-89c,yes,89,600,True,4.02,True
KXGOLD15M,KXGOLD15M-26AUG052145-45,90-95c,yes,91,480,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG052130-30,90-95c,no,93,360,True,2.45,True
KXGOLD15M,KXGOLD15M-26AUG052100-00,90-95c,yes,95,360,True,1.71,True
KXGOLD15M,KXGOLD15M-26AUG052015-15,90-95c,no,95,600,True,1.71,True
KXGOLD15M,KXGOLD15M-26AUG052000-00,90-95c,no,91,540,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG052000-00,85-89c,no,89,420,True,4.02,True
KXGOLD15M,KXGOLD15M-26AUG051930-30,80-84c,yes,80,480,True,8.14,True
KXGOLD15M,KXGOLD15M-26AUG051930-30,90-95c,yes,92,420,True,2.83,True
KXGOLD15M,KXGOLD15M-26AUG051915-15,85-89c,yes,89,420,True,4.02,True
KXGOLD15M,KXGOLD15M-26AUG051915-15,80-84c,yes,82,360,True,7.15,True
KXGOLD15M,KXGOLD15M-26AUG051815-15,80-84c,no,80,360,True,8.14,True
KXGOLD15M,KXGOLD15M-26AUG051815-15,90-95c,no,91,300,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG051815-15,85-89c,no,89,240,True,4.02,True
KXGOLD15M,KXGOLD15M-26AUG051800-00,90-95c,no,92,240,True,2.83,True
KXGOLD15M,KXGOLD15M-26AUG051800-00,85-89c,no,85,180,True,5.74,True
KXGOLD15M,KXGOLD15M-26AUG051715-15,90-95c,yes,92,420,True,2.83,True
KXGOLD15M,KXGOLD15M-26AUG051645-45,80-84c,yes,80,480,False,-35,True
KXGOLD15M,KXGOLD15M-26AUG051645-45,75-79c,yes,76,420,False,-35,True
KXGOLD15M,KXGOLD15M-26AUG051630-30,90-95c,no,91,540,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG051600-00,90-95c,no,91,480,True,3.22,True
KXGOLD15M,KXGOLD15M-26AUG051545-45,85-89c,no,87,480,True,4.86,True
KXGOLD15M,KXGOLD15M-26AUG051545-45,90-95c,no,93,420,True,2.45,True
KXGOLD15M,KXGOLD15M-26AUG051530-30,90-95c,no,95,420,True,1.71,True
KXGOLD15M,KXGOLD15M-26AUG051445-45,90-95c,no,94,480,True,2.08,True
KXGOLD15M,KXGOLD15M-26AUG051445-45,85-89c,no,87,240,True,4.86,True
KXGOLD15M,KXGOLD15M-26AUG051415-15,90-95c,yes,95,360,True,1.71,True
KXGOLD15M,KXGOLD15M-26AUG051045-45,85-89c,no,89,420,False,-35,True
