series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXGOLD15M,KXGOLD15M-26AUG052300-00,90-95c,no,92,600,True,2.83,False
KXGOLD15M,KXGOLD15M-26AUG052300-00,85-89c,no,85,480,True,5.74,False
KXGOLD15M,KXGOLD15M-26AUG052245-45,85-89c,no,87,600,True,4.86,False
KXGOLD15M,KXGOLD15M-26AUG052245-45,80-84c,no,84,540,True,6.2,False
KXGOLD15M,KXGOLD15M-26AUG052245-45,90-95c,no,91,480,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG052230-30,80-84c,no,82,240,True,7.15,False
KXGOLD15M,KXGOLD15M-26AUG052215-15,90-95c,yes,95,600,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG052200-00,80-84c,yes,82,600,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG052200-00,85-89c,yes,87,540,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG052200-00,90-95c,yes,91,480,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG052200-00,75-79c,yes,79,420,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG052145-45,85-89c,yes,89,600,True,4.02,False
KXGOLD15M,KXGOLD15M-26AUG052145-45,90-95c,yes,91,480,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG052130-30,80-84c,no,83,540,True,6.67,False
KXGOLD15M,KXGOLD15M-26AUG052130-30,90-95c,no,94,480,True,2.08,False
KXGOLD15M,KXGOLD15M-26AUG052115-15,80-84c,no,80,540,True,8.14,False
KXGOLD15M,KXGOLD15M-26AUG052100-00,90-95c,yes,91,540,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG052100-00,85-89c,yes,88,480,True,4.44,False
KXGOLD15M,KXGOLD15M-26AUG052030-30,75-79c,yes,78,600,True,9.18,False
KXGOLD15M,KXGOLD15M-26AUG052030-30,80-84c,yes,83,540,True,6.67,False
KXGOLD15M,KXGOLD15M-26AUG052030-30,90-95c,yes,92,480,True,2.83,False
KXGOLD15M,KXGOLD15M-26AUG052015-15,90-95c,no,95,600,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG052015-15,85-89c,no,89,300,True,4.02,False
KXGOLD15M,KXGOLD15M-26AUG052000-00,90-95c,no,90,600,True,3.62,False
KXGOLD15M,KXGOLD15M-26AUG052000-00,85-89c,no,89,420,True,4.02,False
KXGOLD15M,KXGOLD15M-26AUG051930-30,85-89c,yes,88,600,True,4.44,False
KXGOLD15M,KXGOLD15M-26AUG051930-30,80-84c,yes,80,540,True,8.14,False
KXGOLD15M,KXGOLD15M-26AUG051930-30,90-95c,yes,92,420,True,2.83,False
KXGOLD15M,KXGOLD15M-26AUG051915-15,80-84c,yes,84,600,True,6.2,False
KXGOLD15M,KXGOLD15M-26AUG051915-15,90-95c,yes,91,540,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG051915-15,85-89c,yes,89,420,True,4.02,False
KXGOLD15M,KXGOLD15M-26AUG051845-45,75-79c,yes,75,600,True,10.85,False
KXGOLD15M,KXGOLD15M-26AUG051845-45,80-84c,yes,82,540,True,7.15,False
KXGOLD15M,KXGOLD15M-26AUG051815-15,80-84c,no,83,540,True,6.67,False
KXGOLD15M,KXGOLD15M-26AUG051815-15,85-89c,no,89,480,True,4.02,False
KXGOLD15M,KXGOLD15M-26AUG051815-15,90-95c,no,91,300,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG051800-00,85-89c,no,86,420,True,5.3,False
KXGOLD15M,KXGOLD15M-26AUG051800-00,90-95c,no,92,240,True,2.83,False
KXGOLD15M,KXGOLD15M-26AUG051730-30,80-84c,no,84,300,True,6.2,False
KXGOLD15M,KXGOLD15M-26AUG051730-30,90-95c,no,93,240,True,2.45,False
KXGOLD15M,KXGOLD15M-26AUG051715-15,90-95c,yes,95,540,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG051700-00,75-79c,no,75,480,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG051645-45,85-89c,yes,89,600,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG051645-45,90-95c,yes,92,540,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG051645-45,80-84c,yes,80,480,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG051645-45,75-79c,yes,76,420,False,-35,False
KXGOLD15M,KXGOLD15M-26AUG051630-30,85-89c,no,87,600,True,4.86,False
KXGOLD15M,KXGOLD15M-26AUG051630-30,90-95c,no,91,540,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG051600-00,90-95c,no,91,600,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG051545-45,85-89c,no,86,600,True,5.3,False
KXGOLD15M,KXGOLD15M-26AUG051545-45,90-95c,no,93,420,True,2.45,False
KXGOLD15M,KXGOLD15M-26AUG051545-45,75-79c,no,76,180,True,10.28,False
KXGOLD15M,KXGOLD15M-26AUG051530-30,90-95c,no,95,420,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG051515-15,75-79c,no,75,360,True,10.85,False
KXGOLD15M,KXGOLD15M-26AUG051515-15,85-89c,no,86,300,True,5.3,False
KXGOLD15M,KXGOLD15M-26AUG051515-15,90-95c,no,95,240,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG051500-00,80-84c,yes,81,540,True,7.64,False
KXGOLD15M,KXGOLD15M-26AUG051500-00,75-79c,yes,78,480,True,9.18,False
KXGOLD15M,KXGOLD15M-26AUG051500-00,85-89c,yes,86,360,True,5.3,False
KXGOLD15M,KXGOLD15M-26AUG051445-45,90-95c,no,93,600,True,2.45,False
KXGOLD15M,KXGOLD15M-26AUG051445-45,85-89c,no,87,240,True,4.86,False
KXGOLD15M,KXGOLD15M-26AUG051430-30,80-84c,yes,83,600,True,6.67,False
KXGOLD15M,KXGOLD15M-26AUG051430-30,90-95c,yes,93,540,True,2.45,False
KXGOLD15M,KXGOLD15M-26AUG051415-15,75-79c,yes,76,600,True,10.28,False
KXGOLD15M,KXGOLD15M-26AUG051415-15,85-89c,yes,87,540,True,4.86,False
KXGOLD15M,KXGOLD15M-26AUG051415-15,90-95c,yes,91,480,True,3.22,False
KXGOLD15M,KXGOLD15M-26AUG051400-00,80-84c,yes,80,240,True,8.14,False
KXGOLD15M,KXGOLD15M-26AUG051400-00,90-95c,yes,95,180,True,1.71,False
KXGOLD15M,KXGOLD15M-26AUG051045-45,80-84c,no,83,600,False,-35,False
