window_ts,series,ticker,side,ask,secs_left,has_companion,won,profit,result
1785379500,KXETH15M,KXETH15M-26JUL292245-45,no,88,300,True,True,4.44,no
1785379500,KXSOL15M,KXSOL15M-26JUL292245-45,no,89,420,True,False,-35,yes
1785381300,KXXRP15M,KXXRP15M-26JUL292315-15,yes,89,420,True,False,-35,no
1785381300,KXNEAR15M,KXNEAR15M-26JUL292315-15,yes,88,180,False,True,4.44,yes
1785382200,KXETH15M,KXETH15M-26JUL292330-30,yes,88,540,False,True,4.44,yes
1785383100,KXDOGE15M,KXDOGE15M-26JUL292345-45,no,88,600,False,True,4.44,no
1785384000,KXBTC15M,KXBTC15M-26JUL300000-00,yes,89,300,True,True,4.02,yes
1785384000,KXHYPE15M,KXHYPE15M-26JUL300000-00,yes,87,540,True,True,4.86,yes
1785384000,KXNEAR15M,KXNEAR15M-26JUL300000-00,yes,88,360,True,False,-35,no
1785385800,KXBNB15M,KXBNB15M-26JUL300030-30,no,86,240,True,True,5.3,no
1785385800,KXNEAR15M,KXNEAR15M-26JUL300030-30,no,86,180,True,False,-35,yes
1785386700,KXHYPE15M,KXHYPE15M-26JUL300045-45,yes,87,420,True,False,-35,no
1785387600,KXSOL15M,KXSOL15M-26JUL300100-00,yes,89,300,True,False,-35,no
1785387600,KXDOGE15M,KXDOGE15M-26JUL300100-00,yes,87,300,True,False,-35,no
1785390300,KXBTC15M,KXBTC15M-26JUL300145-45,yes,88,540,True,True,4.44,yes
1785390300,KXDOGE15M,KXDOGE15M-26JUL300145-45,yes,89,540,True,True,4.02,yes
1785390300,KXBNB15M,KXBNB15M-26JUL300145-45,yes,87,540,True,True,4.86,yes
1785393000,KXNEAR15M,KXNEAR15M-26JUL300230-30,yes,85,180,True,True,5.74,yes
1785393900,KXBTC15M,KXBTC15M-26JUL300245-45,no,87,420,True,True,4.86,no
1785393900,KXETH15M,KXETH15M-26JUL300245-45,no,87,300,True,True,4.86,no
1785409200,KXHYPE15M,KXHYPE15M-26JUL300700-00,no,88,420,True,True,4.44,no
1785411000,KXDOGE15M,KXDOGE15M-26JUL300730-30,no,88,300,True,True,4.44,no
1785411000,KXXRP15M,KXXRP15M-26JUL300730-30,yes,89,600,False,True,4.02,yes
1785411900,KXNEAR15M,KXNEAR15M-26JUL300745-45,yes,85,240,True,True,5.74,yes
1785412800,KXBNB15M,KXBNB15M-26JUL300800-00,yes,85,360,True,False,-35,no
1785413700,KXBTC15M,KXBTC15M-26JUL300815-15,yes,89,480,True,True,4.02,yes
1785414600,KXDOGE15M,KXDOGE15M-26JUL300830-30,no,89,300,True,True,4.02,no
1785414600,KXXRP15M,KXXRP15M-26JUL300830-30,no,86,300,True,True,5.3,no
1785415500,KXDOGE15M,KXDOGE15M-26JUL300845-45,yes,88,360,True,True,4.44,yes
1785419100,KXDOGE15M,KXDOGE15M-26JUL300945-45,no,88,180,True,False,-35,yes
1785419100,KXNEAR15M,KXNEAR15M-26JUL300945-45,no,86,360,True,False,-35,yes
1785420000,KXBNB15M,KXBNB15M-26JUL301000-00,yes,87,360,True,True,4.86,yes
1785420000,KXNEAR15M,KXNEAR15M-26JUL301000-00,yes,87,480,True,True,4.86,yes
1785420900,KXNEAR15M,KXNEAR15M-26JUL301015-15,no,89,360,True,True,4.02,no
1785422700,KXSOL15M,KXSOL15M-26JUL301045-45,yes,89,300,True,True,4.02,yes
1785434400,KXDOGE15M,KXDOGE15M-26JUL301400-00,yes,85,600,False,True,5.74,yes
1785434400,KXNEAR15M,KXNEAR15M-26JUL301400-00,no,88,240,True,True,4.44,no
1785435300,KXBNB15M,KXBNB15M-26JUL301415-15,yes,88,360,False,True,4.44,yes
1785438900,KXHYPE15M,KXHYPE15M-26JUL301515-15,yes,88,480,True,True,4.44,yes
1785439800,KXSOL15M,KXSOL15M-26JUL301530-30,no,87,240,True,True,4.86,no
1785439800,KXBNB15M,KXBNB15M-26JUL301530-30,no,86,600,False,True,5.3,no
1785440700,KXNEAR15M,KXNEAR15M-26JUL301545-45,no,89,300,True,True,4.02,no
1785442500,KXBTC15M,KXBTC15M-26JUL301615-15,yes,88,600,True,False,-35,no
1785442500,KXNEAR15M,KXNEAR15M-26JUL301615-15,yes,89,600,True,True,4.02,yes
1785445200,KXNEAR15M,KXNEAR15M-26JUL301700-00,no,85,600,False,True,5.74,no
1785446100,KXHYPE15M,KXHYPE15M-26JUL301715-15,yes,87,540,False,True,4.86,yes
1785447000,KXBNB15M,KXBNB15M-26JUL301730-30,no,89,180,False,True,4.02,no
1785447000,KXNEAR15M,KXNEAR15M-26JUL301730-30,yes,89,540,False,False,-35,no
1785447900,KXNEAR15M,KXNEAR15M-26JUL301745-45,yes,85,480,False,True,5.74,yes
1785448800,KXBNB15M,KXBNB15M-26JUL301800-00,no,89,300,True,True,4.02,no
1785449700,KXNEAR15M,KXNEAR15M-26JUL301815-15,yes,86,600,True,True,5.3,yes
1785451500,KXBNB15M,KXBNB15M-26JUL301845-45,no,89,480,True,True,4.02,no
1785451500,KXNEAR15M,KXNEAR15M-26JUL301845-45,yes,89,300,False,True,4.02,yes
1785452400,KXSOL15M,KXSOL15M-26JUL301900-00,no,88,300,True,True,4.44,no
1785454200,KXETH15M,KXETH15M-26JUL301930-30,no,85,360,True,True,5.74,no
1785454200,KXDOGE15M,KXDOGE15M-26JUL301930-30,no,87,360,True,True,4.86,no
1785454200,KXBNB15M,KXBNB15M-26JUL301930-30,no,87,420,True,True,4.86,no
1785455100,KXHYPE15M,KXHYPE15M-26JUL301945-45,yes,88,420,True,False,-35,no
1785456900,KXBTC15M,KXBTC15M-26JUL302015-15,yes,86,480,True,True,5.3,yes
1785457800,KXDOGE15M,KXDOGE15M-26JUL302030-30,no,88,360,True,True,4.44,no
