series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG052245-45,75-79c,yes,75,600,True,10.85,False
KXBTC15M,KXBTC15M-26AUG052245-45,80-84c,no,82,420,False,-35,False
KXBTC15M,KXBTC15M-26AUG052245-45,90-95c,yes,95,180,True,1.71,False
KXBTC15M,KXBTC15M-26AUG052115-15,80-84c,no,82,540,True,7.15,False
KXBTC15M,KXBTC15M-26AUG052115-15,90-95c,no,95,480,True,1.71,False
KXBTC15M,KXBTC15M-26AUG052115-15,85-89c,no,86,300,True,5.3,False
KXBTC15M,KXBTC15M-26AUG052100-00,75-79c,no,76,540,False,-35,False
KXBTC15M,KXBTC15M-26AUG052100-00,80-84c,yes,82,360,True,7.15,False
KXBTC15M,KXBTC15M-26AUG052100-00,90-95c,yes,91,300,True,3.22,False
KXBTC15M,KXBTC15M-26AUG052030-30,85-89c,yes,86,420,True,5.3,False
KXBTC15M,KXBTC15M-26AUG052030-30,90-95c,yes,93,360,True,2.45,False
KXBTC15M,KXBTC15M-26AUG052015-15,75-79c,no,79,600,True,8.65,False
KXBTC15M,KXBTC15M-26AUG052015-15,90-95c,no,90,300,True,3.62,False
KXBTC15M,KXBTC15M-26AUG052000-00,75-79c,no,75,540,True,10.85,False
KXBTC15M,KXBTC15M-26AUG052000-00,80-84c,no,83,480,True,6.67,False
KXBTC15M,KXBTC15M-26AUG052000-00,85-89c,no,88,420,True,4.44,False
KXBTC15M,KXBTC15M-26AUG051945-45,80-84c,no,82,600,True,7.15,False
KXBTC15M,KXBTC15M-26AUG051945-45,75-79c,no,75,420,True,10.85,False
KXBTC15M,KXBTC15M-26AUG051930-30,85-89c,yes,86,420,True,5.3,False
KXBTC15M,KXBTC15M-26AUG051930-30,90-95c,yes,90,360,True,3.62,False
KXBTC15M,KXBTC15M-26AUG051915-15,80-84c,yes,83,360,True,6.67,False
KXBTC15M,KXBTC15M-26AUG051915-15,90-95c,yes,94,240,True,2.08,False
KXBTC15M,KXBTC15M-26AUG051900-00,75-79c,no,77,360,True,9.72,False
