series,ticker,bucket,side,ask,prior_avg,secs_left,won,profit
KXBTC15M,KXBTC15M-26AUG070045-45,20-25c,yes,20,73.0,360,False,-35
KXBTC15M,KXBTC15M-26AUG070000-00,15-19c,yes,16,65.7,360,False,-35
KXBTC15M,KXBTC15M-26AUG062045-45,20-25c,no,20,68.0,660,False,-35
KXBTC15M,KXBTC15M-26AUG061030-30,10-14c,no,14,69.3,420,True,199.95
KXBTC15M,KXBTC15M-26AUG060845-45,20-25c,no,24,69.7,480,True,103.08
KXBTC15M,KXBTC15M-26AUG060830-30,20-25c,no,24,62.7,540,False,-35
KXBTC15M,KXBTC15M-26AUG050945-45,20-25c,no,24,83.7,300,False,-35
KXBTC15M,KXBTC15M-26AUG042130-30,15-19c,no,17,65.0,540,False,-35
KXBTC15M,KXBTC15M-26AUG040630-30,20-25c,yes,24,60.7,300,False,-35
KXBTC15M,KXBTC15M-26AUG031030-30,15-19c,no,15,71.0,300,False,-35
KXBTC15M,KXBTC15M-26AUG030445-45,10-14c,no,13,64.7,480,False,-35
KXBTC15M,KXBTC15M-26AUG021745-45,20-25c,no,24,60.3,540,False,-35
KXBTC15M,KXBTC15M-26AUG020800-00,20-25c,yes,24,74.0,360,False,-35
KXBTC15M,KXBTC15M-26AUG012300-00,20-25c,no,22,60.7,660,False,-35
KXBTC15M,KXBTC15M-26AUG010530-30,20-25c,yes,24,68.7,300,False,-35
KXBTC15M,KXBTC15M-26JUL312130-30,20-25c,yes,22,63.0,300,False,-35
KXBTC15M,KXBTC15M-26JUL310000-00,15-19c,no,15,62.3,360,True,184.45
KXBTC15M,KXBTC15M-26JUL302000-00,20-25c,yes,22,83.0,540,False,-35
KXBTC15M,KXBTC15M-26JUL301045-45,20-25c,yes,25,61.3,540,True,97.65
KXBTC15M,KXBTC15M-26JUL300745-45,15-19c,no,16,68.3,480,False,-35
KXBTC15M,KXBTC15M-26JUL300730-30,20-25c,yes,22,60.3,480,False,-35
KXBTC15M,KXBTC15M-26JUL292000-00,20-25c,no,24,66.3,300,True,103.08
KXBTC15M,KXBTC15M-26JUL290730-30,15-19c,no,16,60.0,480,True,170.89
KXBTC15M,KXBTC15M-26JUL290600-00,10-14c,no,13,65.7,360,False,-35
KXBTC15M,KXBTC15M-26JUL282045-45,15-19c,no,17,78.7,420,False,-35
KXBTC15M,KXBTC15M-26JUL281500-00,20-25c,yes,21,67.3,420,False,-35
KXBTC15M,KXBTC15M-26JUL280915-15,15-19c,yes,19,62.3,300,False,-35
KXBTC15M,KXBTC15M-26JUL280300-00,20-25c,no,25,62.0,480,False,-35
KXBTC15M,KXBTC15M-26JUL271515-15,20-25c,no,22,65.0,420,False,-35
KXBTC15M,KXBTC15M-26JUL262245-45,20-25c,no,25,62.7,420,False,-35
KXBTC15M,KXBTC15M-26JUL262145-45,15-19c,yes,17,72.0,540,True,158.92
KXBTC15M,KXBTC15M-26JUL262145-45,20-25c,no,23,77.7,360,False,-35
KXBTC15M,KXBTC15M-26JUL250100-00,20-25c,yes,21,63.7,420,False,-35
KXBTC15M,KXBTC15M-26JUL250045-45,20-25c,no,23,65.7,480,False,-35
KXBTC15M,KXBTC15M-26JUL240830-30,15-19c,no,17,60.7,300,True,158.92
KXBTC15M,KXBTC15M-26JUL240030-30,20-25c,no,20,85.7,360,False,-35
KXBTC15M,KXBTC15M-26JUL231045-45,15-19c,no,19,76.0,420,True,138.77
KXBTC15M,KXBTC15M-26JUL230230-30,15-19c,yes,18,66.0,300,True,148.28
KXBTC15M,KXBTC15M-26JUL220900-00,15-19c,yes,15,64.3,600,False,-35
KXBTC15M,KXBTC15M-26JUL220445-45,15-19c,yes,17,61.0,420,False,-35
KXBTC15M,KXBTC15M-26JUL220145-45,20-25c,yes,22,70.0,480,False,-35
KXBTC15M,KXBTC15M-26JUL212030-30,20-25c,no,21,75.7,480,True,122.45
KXBTC15M,KXBTC15M-26JUL210815-15,20-25c,no,25,66.0,420,False,-35
KXBTC15M,KXBTC15M-26JUL210230-30,15-19c,no,16,69.7,360,False,-35
