series,ticker,bucket,side,ask,prior_avg,secs_left,won,profit
KXBTC15M,KXBTC15M-26JUN080230-30,20-25c,no,22,60.7,660,False,-35
KXBTC15M,KXBTC15M-26JUN080015-15,15-19c,yes,19,61.7,660,False,-35
KXBTC15M,KXBTC15M-26JUN072315-15,10-14c,no,14,66.7,300,False,-35
KXBTC15M,KXBTC15M-26JUN070745-45,15-19c,no,17,65.3,480,False,-35
KXBTC15M,KXBTC15M-26JUN070445-45,20-25c,no,20,66.0,480,False,-35
KXBTC15M,KXBTC15M-26JUN070130-30,15-19c,no,16,64.0,660,True,170.89
KXBTC15M,KXBTC15M-26JUN070130-30,20-25c,yes,22,64.3,480,False,-35
KXBTC15M,KXBTC15M-26JUN060015-15,15-19c,yes,19,70.3,540,False,-35
KXBTC15M,KXBTC15M-26JUN051915-15,15-19c,yes,16,66.3,360,False,-35
KXBTC15M,KXBTC15M-26JUN051615-15,10-14c,no,13,81.0,360,False,-35
KXBTC15M,KXBTC15M-26JUN051445-45,15-19c,no,16,60.0,300,True,170.89
KXBTC15M,KXBTC15M-26JUN050215-15,20-25c,no,20,63.3,480,True,130.2
KXBTC15M,KXBTC15M-26JUN050100-00,20-25c,no,25,75.3,540,False,-35
KXBTC15M,KXBTC15M-26JUN050015-15,20-25c,no,22,73.7,480,False,-35
KXBTC15M,KXBTC15M-26JUN040130-30,20-25c,yes,25,61.7,540,False,-35
KXBTC15M,KXBTC15M-26JUN032215-15,20-25c,no,24,75.7,420,False,-35
KXBTC15M,KXBTC15M-26JUN032045-45,20-25c,yes,20,74.0,420,True,130.2
KXBTC15M,KXBTC15M-26JUN031845-45,10-14c,yes,13,64.7,420,False,-35
KXBTC15M,KXBTC15M-26JUN031745-45,10-14c,yes,14,77.7,360,False,-35
KXBTC15M,KXBTC15M-26JUN030845-45, 5-9c,yes,9,66.3,360,False,-35
KXBTC15M,KXBTC15M-26JUN030645-45,20-25c,yes,20,63.3,480,False,-35
KXBTC15M,KXBTC15M-26JUN030600-00, 5-9c,no,5,60.0,600,False,-35
KXBTC15M,KXBTC15M-26JUN030000-00,15-19c,no,18,60.0,300,False,-35
KXBTC15M,KXBTC15M-26JUN022230-30,10-14c,yes,12,65.3,480,False,-35
KXBTC15M,KXBTC15M-26JUN021830-30,10-14c,no,13,63.0,360,False,-35
KXBTC15M,KXBTC15M-26JUN010800-00,20-25c,yes,20,63.0,540,False,-35
KXBTC15M,KXBTC15M-26JUN010600-00,20-25c,yes,24,60.0,420,False,-35
KXBTC15M,KXBTC15M-26MAY312345-45,20-25c,yes,24,62.3,300,False,-35
KXBTC15M,KXBTC15M-26MAY310600-00,20-25c,yes,20,62.0,480,False,-35
KXBTC15M,KXBTC15M-26MAY310545-45,20-25c,no,24,66.3,360,False,-35
KXBTC15M,KXBTC15M-26MAY292015-15,15-19c,no,18,60.3,360,False,-35
KXBTC15M,KXBTC15M-26MAY290645-45,15-19c,no,16,63.7,540,False,-35
KXBTC15M,KXBTC15M-26MAY282345-45,20-25c,yes,20,65.7,480,False,-35
