venue,ticker,title,yes_ask,no_ask,yes_sz,no_sz,vol
KALSHI,KXSILVERH-26JUL2315-T58.549,"Will the SILVER close price be above 58.549 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.07,1.0,50.0,0.0,100.0
KALSHI,KXSILVERH-26JUL2315-T58.499,"Will the SILVER close price be above 58.499 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.14,0.95,413.0,0.0,100.0
KALSHI,KXSILVERH-26JUL2315-T58.349,"Will the SILVER close price be above 58.349 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.09,0.92,500.0,0.0,75.0
KALSHI,KXSILVERH-26JUL2315-T58.199,"Will the SILVER close price be above 58.199 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.14,0.87,500.0,0.0,50.0
KALSHI,KXSILVERH-26JUL2315-T58.149,"Will the SILVER close price be above 58.149 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.15,0.89,500.0,0.0,50.0
KALSHI,KXSILVERH-26JUL2315-T58.449,"Will the SILVER close price be above 58.449 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.07,0.94,500.0,0.0,25.0
KALSHI,KXSILVERH-26JUL2315-T58.949,"Will the SILVER close price be above 58.949 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.05,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.899,"Will the SILVER close price be above 58.899 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.05,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.849,"Will the SILVER close price be above 58.849 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.06,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.799,"Will the SILVER close price be above 58.799 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.08,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.749,"Will the SILVER close price be above 58.749 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.09,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.699,"Will the SILVER close price be above 58.699 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.1,1.0,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.649,"Will the SILVER close price be above 58.649 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.12,0.98,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.599,"Will the SILVER close price be above 58.599 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.14,0.97,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.399,"Will the SILVER close price be above 58.399 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.08,0.93,500.0,0.0,0.0
