city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
NYC,2026-08-20,KXHIGHNY-26AUG20-T85,yes,0.631,0.08,293,0.546,False,-24.95
NYC,2026-08-20,KXHIGHNY-26AUG20-B84.5,no,0.756,0.5,80,0.239,False,-41.4
NYC,2026-08-20,KXHIGHNY-26AUG20-B82.5,no,0.9,0.61,65,0.273,True,24.26
NYC,2026-08-19,KXHIGHNY-26AUG19-B89.5,yes,0.306,0.09,173,0.21,False,-16.57
NYC,2026-08-19,KXHIGHNY-26AUG19-B87.5,no,0.724,0.61,65,0.097,True,24.26
NYC,2026-08-19,KXHIGHNY-26AUG19-B85.5,no,0.867,0.51,78,0.34,False,-41.15
NYC,2026-08-18,KXHIGHNY-26AUG18-T85,no,0.691,0.23,173,0.449,True,131.06
NYC,2026-08-18,KXHIGHNY-26AUG18-B87.5,yes,0.247,0.03,126,0.215,False,-4.04
NYC,2026-08-18,KXHIGHNY-26AUG18-B85.5,yes,0.316,0.19,150,0.115,True,119.88
NYC,2026-08-17,KXHIGHNY-26AUG17-T84,no,0.784,0.19,148,0.583,False,-29.72
NYC,2026-08-17,KXHIGHNY-26AUG17-B86.5,yes,0.289,0.05,50,0.236,False,-2.67
NYC,2026-08-17,KXHIGHNY-26AUG17-B84.5,yes,0.296,0.19,99,0.096,False,-19.88
NYC,2026-08-16,KXHIGHNY-26AUG16-T78,yes,0.059,0.02,310,0.038,False,-6.63
NYC,2026-08-16,KXHIGHNY-26AUG16-B84.5,yes,0.143,0.02,80,0.122,False,-1.71
NYC,2026-08-16,KXHIGHNY-26AUG16-B82.5,yes,0.284,0.15,266,0.125,False,-42.28
NYC,2026-08-16,KXHIGHNY-26AUG16-B80.5,no,0.7,0.44,90,0.242,False,-41.16
NYC,2026-08-16,KXHIGHNY-26AUG16-B78.5,no,0.831,0.78,51,0.039,True,10.6
NYC,2026-08-15,KXHIGHNY-26AUG15-B86.5,yes,0.267,0.03,2,0.235,False,-0.07
NYC,2026-08-15,KXHIGHNY-26AUG15-B84.5,yes,0.31,0.19,127,0.109,False,-25.5
NYC,2026-08-15,KXHIGHNY-26AUG15-B82.5,no,0.808,0.5,80,0.291,False,-41.4
NYC,2026-08-15,KXHIGHNY-26AUG15-B80.5,no,0.937,0.71,56,0.212,True,15.43
NYC,2026-08-14,KXHIGHNY-26AUG14-T85,no,0.807,0.72,55,0.073,False,-40.38
NYC,2026-08-14,KXHIGHNY-26AUG14-B91.5,yes,0.048,0.02,65,0.027,False,-1.39
NYC,2026-08-14,KXHIGHNY-26AUG14-B89.5,yes,0.165,0.03,2,0.133,False,-0.07
NYC,2026-08-14,KXHIGHNY-26AUG14-B87.5,yes,0.298,0.16,115,0.129,False,-19.49
NYC,2026-08-14,KXHIGHNY-26AUG14-B85.5,no,0.713,0.47,85,0.226,True,43.56
NYC,2026-08-13,KXHIGHNY-26AUG13-T85,yes,0.872,0.56,71,0.294,False,-40.99
NYC,2026-08-13,KXHIGHNY-26AUG13-B87.5,no,0.977,0.88,45,0.09,True,5.06
NYC,2026-08-13,KXHIGHNY-26AUG13-B85.5,no,0.897,0.69,57,0.192,False,-40.19
NYC,2026-08-12,KXHIGHNY-26AUG12-T90,yes,0.084,0.02,14,0.063,False,-0.3
NYC,2026-08-12,KXHIGHNY-26AUG12-B89.5,yes,0.203,0.06,167,0.139,False,-10.68
NYC,2026-08-12,KXHIGHNY-26AUG12-B87.5,no,0.687,0.59,67,0.08,True,26.33
NYC,2026-08-12,KXHIGHNY-26AUG12-B85.5,no,0.742,0.6,66,0.126,True,25.29
NYC,2026-08-11,KXHIGHNY-26AUG11-T89,no,0.423,0.07,212,0.348,False,-15.81
NYC,2026-08-11,KXHIGHNY-26AUG11-B91.5,yes,0.122,0.02,208,0.101,False,-4.45
NYC,2026-08-11,KXHIGHNY-26AUG11-B89.5,yes,0.267,0.08,100,0.182,False,-8.52
NYC,2026-08-10,KXHIGHNY-26AUG10-T96,yes,0.052,0.02,15,0.031,False,-0.33
NYC,2026-08-10,KXHIGHNY-26AUG10-T89,no,0.95,0.46,86,0.472,False,-41.06
NYC,2026-08-10,KXHIGHNY-26AUG10-B93.5,yes,0.294,0.02,33,0.273,False,-0.71
NYC,2026-08-10,KXHIGHNY-26AUG10-B91.5,yes,0.292,0.08,302,0.207,False,-25.72
NYC,2026-08-10,KXHIGHNY-26AUG10-B89.5,no,0.846,0.6,66,0.229,True,25.29
NYC,2026-08-09,KXHIGHNY-26AUG09-T90,no,0.954,0.91,43,0.038,False,-39.38
NYC,2026-08-09,KXHIGHNY-26AUG09-B94.5,yes,0.298,0.04,81,0.256,False,-3.46
NYC,2026-08-09,KXHIGHNY-26AUG09-B90.5,no,0.853,0.37,108,0.467,True,66.27
NYC,2026-08-08,KXHIGHNY-26AUG08-B93.5,yes,0.109,0.03,52,0.077,False,-1.67
NYC,2026-08-08,KXHIGHNY-26AUG08-B91.5,yes,0.254,0.11,363,0.137,False,-42.42
NYC,2026-08-08,KXHIGHNY-26AUG08-B89.5,no,0.686,0.41,97,0.259,True,55.58
