ticker,series,category,p_t,y,volume,close
KXYTVIEWSHIGH-YOU26SEP-7.0M,KXYTVIEWSHIGH,Entertainment,0.68,1,12301.93,2026-08-04T00:10:16Z
KXYTVIEWSHIGH-YOU26SEP-6.75M,KXYTVIEWSHIGH,Entertainment,0.81,1,2212.0,2026-08-04T00:09:56Z
KXYTVIEWSHIGH-MOR26SEP-5.4M,KXYTVIEWSHIGH,Entertainment,0.71,1,3843.04,2026-08-04T00:07:00Z
KXYTVIEWSHIGH-MOR26SEP-5.3M,KXYTVIEWSHIGH,Entertainment,0.84,1,2072.54,2026-08-04T00:06:34Z
KXYTVIEWSHIGH-MOR26SEP-5.2M,KXYTVIEWSHIGH,Entertainment,0.85,1,1542.0,2026-08-04T00:06:18Z
KXYTVIEWSHIGH-MOR26SEP-5.1M,KXYTVIEWSHIGH,Entertainment,0.9,1,2481.0,2026-08-04T00:06:02Z
KXYTVIEWSHIGH-BAD26SEP-30.0M,KXYTVIEWSHIGH,Entertainment,0.34,1,5344.3,2026-08-04T00:03:33Z
KXYTVIEWSHIGH-BAD26SEP-29.0M,KXYTVIEWSHIGH,Entertainment,0.9,1,5279.01,2026-08-04T00:03:12Z
KXYTVIEWSHIGH-ARI26SEP-21.0M,KXYTVIEWSHIGH,Entertainment,0.94,1,5060.65,2026-08-04T00:01:29Z
KXYTVIEWSHIGH-ARI26SEP-20.0M,KXYTVIEWSHIGH,Entertainment,0.93,1,3859.8,2026-08-04T00:01:14Z
KXYTVIEWSHIGH-ARI26SEP-16.0M,KXYTVIEWSHIGH,Entertainment,0.99,1,4293.17,2026-08-04T00:00:14Z
KXMADDOWMENTION-26JUL20-BLAN,KXMADDOWMENTION,Mentions,0.3,0,5971.14,2026-07-28T13:58:16Z
KXMADDOWMENTION-26JUL20-OIL,KXMADDOWMENTION,Mentions,0.63,1,22335.7,2026-07-28T13:27:17Z
KXMADDOWMENTION-26JUL20-ICE,KXMADDOWMENTION,Mentions,0.8,1,13786.75,2026-07-28T01:35:46Z
KXMADDOWMENTION-26JUL20-BALL,KXMADDOWMENTION,Mentions,0.29,1,4874.59,2026-07-28T01:35:46Z
KXMADDOWMENTION-26JUL20-IRAN,KXMADDOWMENTION,Mentions,0.63,1,15137.79,2026-07-28T01:35:45Z
KXMADDOWMENTION-26JUL09-IPO,KXMADDOWMENTION,Mentions,0.78,0,1481.85,2026-07-10T03:26:18Z
KXMADDOWMENTION-26JUL09-GRID,KXMADDOWMENTION,Mentions,0.55,0,3397.19,2026-07-10T03:26:18Z
KXMADDOWMENTION-26JUL09-GPT,KXMADDOWMENTION,Mentions,0.5,0,891.26,2026-07-10T03:26:18Z
KXMADDOWMENTION-26JUL09-NQE,KXMADDOWMENTION,Mentions,0.01,0,796.61,2026-07-10T03:26:17Z
KXMADDOWMENTION-26JUL09-DATA,KXMADDOWMENTION,Mentions,0.54,0,21052.24,2026-07-10T03:26:17Z
KXMADDOWMENTION-26JUL09-ANTH,KXMADDOWMENTION,Mentions,0.3,0,8336.97,2026-07-10T03:26:17Z
KXVOTEBLANCHE-27-TTUB,KXVOTEBLANCHE,Politics,0.92,1,27893.53,2026-08-08T12:57:10Z
KXVOTEBLANCHE-27-JTHU,KXVOTEBLANCHE,Politics,0.94,1,15929.98,2026-08-08T12:57:10Z
KXVOTEBLANCHE-27-JHUS,KXVOTEBLANCHE,Politics,0.92,1,2780.97,2026-08-08T12:57:10Z
KXVOTEBLANCHE-27-JCUR,KXVOTEBLANCHE,Politics,0.95,1,2879.42,2026-08-08T12:57:10Z
KXVOTEBLANCHE-27-JCOR,KXVOTEBLANCHE,Politics,0.93,1,33607.16,2026-08-08T12:57:10Z
KXVOTEBLANCHE-27-TTIL,KXVOTEBLANCHE,Politics,0.95,1,34428.34,2026-08-08T12:57:09Z
KXVOTEBLANCHE-27-RPAU,KXVOTEBLANCHE,Politics,0.92,1,19803.41,2026-08-08T12:57:09Z
KXVOTEBLANCHE-27-BCAS,KXVOTEBLANCHE,Politics,0.74,1,48334.58,2026-08-08T12:57:09Z
KXVOTEBLANCHE-27-SCOL,KXVOTEBLANCHE,Politics,0.01,0,46100.96,2026-08-08T12:57:04Z
KXVOTEBLANCHE-27-MMCC,KXVOTEBLANCHE,Politics,0.14,0,46834.3,2026-08-08T12:57:04Z
KXVOTEBLANCHE-27-LMUR,KXVOTEBLANCHE,Politics,0.01,0,40683.85,2026-08-08T12:57:04Z
KXVOTEBLANCHE-27-JFET,KXVOTEBLANCHE,Politics,0.02,0,29198.03,2026-08-08T12:57:04Z
KXHIGHTMIN-26AUG22-T85,KXHIGHTMIN,Climate and Weather,0.01,0,712.83,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG22-T78,KXHIGHTMIN,Climate and Weather,0.08,0,1123.69,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG22-B84.5,KXHIGHTMIN,Climate and Weather,0.04,0,1058.43,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG22-B82.5,KXHIGHTMIN,Climate and Weather,0.16,0,4797.23,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG22-B80.5,KXHIGHTMIN,Climate and Weather,0.53,1,3472.55,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG22-B78.5,KXHIGHTMIN,Climate and Weather,0.21,0,4063.71,2026-08-23T06:00:00Z
KXHIGHTMIN-26AUG21-T86,KXHIGHTMIN,Climate and Weather,0.01,0,1413.5,2026-08-22T06:00:00Z
KXHIGHTMIN-26AUG21-T79,KXHIGHTMIN,Climate and Weather,0.07,0,3051.93,2026-08-22T06:00:00Z
KXHIGHTMIN-26AUG21-B85.5,KXHIGHTMIN,Climate and Weather,0.06,0,8975.57,2026-08-22T06:00:00Z
KXHIGHTMIN-26AUG21-B83.5,KXHIGHTMIN,Climate and Weather,0.32,1,5018.46,2026-08-22T06:00:00Z
KXHIGHTMIN-26AUG21-B79.5,KXHIGHTMIN,Climate and Weather,0.12,0,6363.58,2026-08-22T06:00:00Z
KXHIGHTMIN-26AUG20-T87,KXHIGHTMIN,Climate and Weather,0.01,0,571.01,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG20-T80,KXHIGHTMIN,Climate and Weather,0.08,1,11392.07,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG20-B86.5,KXHIGHTMIN,Climate and Weather,0.11,0,1305.16,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG20-B84.5,KXHIGHTMIN,Climate and Weather,0.45,0,3237.61,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG20-B82.5,KXHIGHTMIN,Climate and Weather,0.27,0,5058.72,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG20-B80.5,KXHIGHTMIN,Climate and Weather,0.09,0,4864.83,2026-08-21T06:00:00Z
KXHIGHTMIN-26AUG19-T85,KXHIGHTMIN,Climate and Weather,0.02,0,1362.39,2026-08-20T06:00:00Z
KXHIGHTMIN-26AUG19-T78,KXHIGHTMIN,Climate and Weather,0.05,0,1604.92,2026-08-20T06:00:00Z
KXHIGHTMIN-26AUG19-B84.5,KXHIGHTMIN,Climate and Weather,0.05,0,3515.06,2026-08-20T06:00:00Z
KXHIGHTMIN-26AUG18-T82,KXHIGHTMIN,Climate and Weather,0.46,1,6790.55,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG18-T75,KXHIGHTMIN,Climate and Weather,0.01,0,1215.71,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG18-B81.5,KXHIGHTMIN,Climate and Weather,0.32,0,4866.84,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG18-B79.5,KXHIGHTMIN,Climate and Weather,0.18,0,2518.95,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG18-B77.5,KXHIGHTMIN,Climate and Weather,0.05,0,1064.84,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG18-B75.5,KXHIGHTMIN,Climate and Weather,0.03,0,1091.7,2026-08-19T06:00:00Z
KXHIGHTMIN-26AUG17-T87,KXHIGHTMIN,Climate and Weather,0.04,0,3859.42,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG17-T80,KXHIGHTMIN,Climate and Weather,0.02,0,274.35,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG17-B86.5,KXHIGHTMIN,Climate and Weather,0.14,0,9166.66,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG17-B84.5,KXHIGHTMIN,Climate and Weather,0.58,1,11579.26,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG17-B82.5,KXHIGHTMIN,Climate and Weather,0.24,0,3039.87,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG17-B80.5,KXHIGHTMIN,Climate and Weather,0.04,0,662.61,2026-08-18T06:00:00Z
KXHIGHTMIN-26AUG16-T86,KXHIGHTMIN,Climate and Weather,0.01,0,1194.71,2026-08-17T06:00:00Z
KXHIGHTMIN-26AUG16-T79,KXHIGHTMIN,Climate and Weather,0.18,0,1695.25,2026-08-17T06:00:00Z
KXHIGHTMIN-26AUG16-B85.5,KXHIGHTMIN,Climate and Weather,0.02,0,2124.85,2026-08-17T06:00:00Z
KXHIGHTMIN-26AUG16-B83.5,KXHIGHTMIN,Climate and Weather,0.06,1,11277.73,2026-08-17T06:00:00Z
KXHIGHTMIN-26AUG16-B81.5,KXHIGHTMIN,Climate and Weather,0.37,0,11303.27,2026-08-17T06:00:00Z
KXHIGHTMIN-26AUG15-B84.5,KXHIGHTMIN,Climate and Weather,0.25,0,3592.41,2026-08-16T06:00:00Z
KXHIGHTMIN-26AUG15-B82.5,KXHIGHTMIN,Climate and Weather,0.33,1,6464.69,2026-08-16T06:00:00Z
KXHIGHTMIN-26AUG15-B80.5,KXHIGHTMIN,Climate and Weather,0.28,0,5940.1,2026-08-16T06:00:00Z
KXHIGHTMIN-26AUG14-T88,KXHIGHTMIN,Climate and Weather,0.02,0,712.05,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG14-T81,KXHIGHTMIN,Climate and Weather,0.06,0,3912.95,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG14-B87.5,KXHIGHTMIN,Climate and Weather,0.07,0,1350.15,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG14-B85.5,KXHIGHTMIN,Climate and Weather,0.41,0,6872.34,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG14-B83.5,KXHIGHTMIN,Climate and Weather,0.3,1,10959.02,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG14-B81.5,KXHIGHTMIN,Climate and Weather,0.19,0,18029.87,2026-08-15T06:00:00Z
KXHIGHTMIN-26AUG13-T89,KXHIGHTMIN,Climate and Weather,0.01,0,760.83,2026-08-14T06:00:00Z
KXHIGHTMIN-26AUG13-B82.5,KXHIGHTMIN,Climate and Weather,0.33,0,6579.97,2026-08-14T06:00:00Z
KXHIGHTMIN-26AUG12-T91,KXHIGHTMIN,Climate and Weather,0.08,0,2221.47,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG12-T84,KXHIGHTMIN,Climate and Weather,0.01,0,623.11,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG12-B90.5,KXHIGHTMIN,Climate and Weather,0.24,0,9190.69,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG12-B88.5,KXHIGHTMIN,Climate and Weather,0.45,1,8409.44,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG12-B86.5,KXHIGHTMIN,Climate and Weather,0.21,0,3120.92,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG12-B84.5,KXHIGHTMIN,Climate and Weather,0.09,0,1491.06,2026-08-13T06:00:00Z
KXHIGHTMIN-26AUG11-T91,KXHIGHTMIN,Climate and Weather,0.02,0,4511.48,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG11-T84,KXHIGHTMIN,Climate and Weather,0.06,0,2485.44,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG11-B90.5,KXHIGHTMIN,Climate and Weather,0.07,0,7505.36,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG11-B88.5,KXHIGHTMIN,Climate and Weather,0.3,1,11724.94,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG11-B86.5,KXHIGHTMIN,Climate and Weather,0.4,0,15415.05,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG11-B84.5,KXHIGHTMIN,Climate and Weather,0.12,0,2023.36,2026-08-12T06:00:00Z
KXHIGHTMIN-26AUG10-T90,KXHIGHTMIN,Climate and Weather,0.01,0,795.21,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG10-T83,KXHIGHTMIN,Climate and Weather,0.06,0,2122.95,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG10-B89.5,KXHIGHTMIN,Climate and Weather,0.04,0,2921.12,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG10-B87.5,KXHIGHTMIN,Climate and Weather,0.36,0,7177.33,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG10-B85.5,KXHIGHTMIN,Climate and Weather,0.37,1,6967.73,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG10-B83.5,KXHIGHTMIN,Climate and Weather,0.1,0,2726.92,2026-08-11T06:00:00Z
KXHIGHTMIN-26AUG09-T87,KXHIGHTMIN,Climate and Weather,0.01,0,6216.31,2026-08-10T06:00:00Z
KXHIGHTMIN-26AUG09-T80,KXHIGHTMIN,Climate and Weather,0.07,0,1572.39,2026-08-10T06:00:00Z
KXHIGHTMIN-26AUG08-T89,KXHIGHTMIN,Climate and Weather,0.02,0,821.14,2026-08-09T06:00:00Z
KXHIGHTMIN-26AUG08-T82,KXHIGHTMIN,Climate and Weather,0.1,1,18658.16,2026-08-09T06:00:00Z
KXHIGHTMIN-26AUG08-B88.5,KXHIGHTMIN,Climate and Weather,0.04,0,1101.06,2026-08-09T06:00:00Z
KXHIGHTMIN-26AUG08-B86.5,KXHIGHTMIN,Climate and Weather,0.1,0,2869.01,2026-08-09T06:00:00Z
KXHIGHTMIN-26AUG08-B82.5,KXHIGHTMIN,Climate and Weather,0.4,0,9172.61,2026-08-09T06:00:00Z
KXHIGHTMIN-26AUG07-T87,KXHIGHTMIN,Climate and Weather,0.02,0,795.9,2026-08-08T06:00:00Z
KXHIGHTMIN-26AUG07-T80,KXHIGHTMIN,Climate and Weather,0.14,0,16676.93,2026-08-08T06:00:00Z
KXHIGHTMIN-26AUG07-B86.5,KXHIGHTMIN,Climate and Weather,0.11,0,1905.35,2026-08-08T06:00:00Z
KXHIGHTMIN-26AUG07-B84.5,KXHIGHTMIN,Climate and Weather,0.2,0,3652.75,2026-08-08T06:00:00Z
