city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
NYC,2026-07-17,KXHIGHNY-26JUL17-T90,yes,0.605,0.02,70,0.583,False,-1.5
NYC,2026-07-17,KXHIGHNY-26JUL17-T83,no,0.999,0.94,42,0.055,True,2.35
NYC,2026-07-17,KXHIGHNY-26JUL17-B89.5,yes,0.226,0.07,124,0.151,False,-9.25
NYC,2026-07-17,KXHIGHNY-26JUL17-B87.5,no,0.88,0.77,51,0.098,True,11.09
NYC,2026-07-17,KXHIGHNY-26JUL17-B85.5,no,0.96,0.62,64,0.323,False,-40.74
NYC,2026-07-17,KXHIGHNY-26JUL17-B83.5,no,0.992,0.82,48,0.161,True,8.14
NYC,2026-07-16,KXHIGHNY-26JUL16-T89,no,0.996,0.44,90,0.539,False,-41.16
NYC,2026-07-16,KXHIGHNY-26JUL16-B95.5,yes,0.261,0.02,32,0.24,False,-0.69
NYC,2026-07-16,KXHIGHNY-26JUL16-B93.5,yes,0.174,0.06,244,0.11,False,-15.61
NYC,2026-07-16,KXHIGHNY-26JUL16-B91.5,no,0.927,0.83,48,0.087,True,7.68
NYC,2026-07-16,KXHIGHNY-26JUL16-B89.5,no,0.98,0.75,53,0.217,True,12.55
NYC,2026-07-15,KXHIGHNY-26JUL15-T97,no,0.975,0.5,80,0.457,False,-41.4
NYC,2026-07-15,KXHIGHNY-26JUL15-T104,yes,0.21,0.02,49,0.189,False,-1.05
NYC,2026-07-15,KXHIGHNY-26JUL15-B99.5,yes,0.18,0.11,164,0.063,False,-19.17
NYC,2026-07-15,KXHIGHNY-26JUL15-B97.5,no,0.923,0.61,65,0.296,True,24.26
NYC,2026-07-15,KXHIGHNY-26JUL15-B101.5,yes,0.263,0.02,145,0.242,False,-3.1
NYC,2026-07-14,KXHIGHNY-26JUL14-T97,yes,0.454,0.02,60,0.433,False,-1.29
NYC,2026-07-14,KXHIGHNY-26JUL14-B96.5,yes,0.263,0.2,200,0.052,False,-42.24
NYC,2026-07-14,KXHIGHNY-26JUL14-B94.5,no,0.82,0.56,71,0.243,True,30.01
NYC,2026-07-14,KXHIGHNY-26JUL14-B92.5,no,0.923,0.7,57,0.208,True,16.26
NYC,2026-07-14,KXHIGHNY-26JUL14-B90.5,no,0.979,0.95,42,0.026,False,-40.04
NYC,2026-07-13,KXHIGHNY-26JUL13-T89,yes,0.287,0.02,114,0.265,False,-2.44
NYC,2026-07-13,KXHIGHNY-26JUL13-B88.5,yes,0.264,0.03,21,0.232,False,-0.68
NYC,2026-07-13,KXHIGHNY-26JUL13-B86.5,yes,0.243,0.07,451,0.168,False,-33.63
NYC,2026-07-13,KXHIGHNY-26JUL13-B84.5,no,0.859,0.38,105,0.463,False,-41.64
NYC,2026-07-13,KXHIGHNY-26JUL13-B82.5,no,0.948,0.7,57,0.234,True,16.26
NYC,2026-07-12,KXHIGHNY-26JUL12-B88.5,yes,0.232,0.02,141,0.211,False,-3.02
