grp,bands,entry_sum,cur_sum,edge
Jeddah | July 21,2,0.7928,1.0,0.18720000000000006
Milan | July 21,2,0.819,1.0,0.16100000000000006
Manila | June 9,1,0.8231,1.0,0.15689999999999996
Guangzhou | July 22,2,0.8953,1.0,0.08470000000000001
Munich | July 22,2,0.9440000000000001,1.0,0.035999999999999935
Kuala Lumpur | July 22,1,0.951,1.0,0.029000000000000043
Toronto | July 21,1,0.9513,1.0,0.028699999999999965
Singapore | July 22,2,1.0091,1.0,-0.02910000000000011
Ankara | July 21,2,1.01,1.0,-0.03000000000000001
Istanbul | July 22,2,1.1077,1.0,-0.1276999999999999
Paris | July 22,3,1.1240999999999999,1.0,-0.14409999999999987
