wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df',)",1,50,37,1850,True,733,54,103.0,522.19,273.77,86.29,-91.65,429.64,-470.07,9060.65,55.6,28198.31
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293',)",1,100,12,1200,True,276,28,29.3,135.38,129.44,45.47,-236.26,495.32,-1066.26,1289.31,50.0,3790.68
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0',)",1,65,30,1950,True,195,21,22.4,255.68,239.4,31.1,-32.22,319.09,-471.06,2364.49,57.1,5369.35
"('0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf',)",1,25,74,1850,True,703,14,71.4,-31.22,-6.12,4.05,-151.35,186.23,-1205.43,724.06,50.0,-437.01
"('0x412fe1a101554f0b382181c3af932e4b2d8030fa',)",1,100,8,800,True,466,31,30.0,399.32,412.63,286.71,-14.52,614.03,-845.32,4123.41,74.2,12378.88
"('0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1',)",1,85,23,1955,True,1609,22,22.1,161.86,160.82,-332.99,-713.61,1072.55,-3513.0,4450.5,45.5,3560.97
"('0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1',)",1,90,22,1980,True,187,32,70.7,348.3,157.61,187.39,72.67,640.58,-593.56,2383.73,81.2,11145.54
"('0xfbf3d501e88815464642d0e913f15379c3eeb218',)",1,70,28,1960,True,810,34,94.0,542.64,196.28,228.22,-102.61,684.36,-2021.79,6319.05,67.6,18449.88
"('0x567464a8b6b5794c43282c4a9274e12b48ba8b14',)",1,40,49,1960,True,606,17,97.3,701.54,122.59,597.19,-10.39,1039.11,-700.68,2744.23,64.7,11926.1
"('0x9d9346b36bfacf6858ae06c7401a72ad09162cf1',)",1,100,7,700,True,548,26,26.1,115.91,115.27,22.39,-344.03,329.27,-1462.38,3233.96,50.0,3013.6
"('0x5c6940cefe1dc0cbcc859b62997cc749baa751ca',)",1,100,13,1300,True,214,36,58.3,201.55,124.49,-9.65,-242.05,349.39,-854.41,2325.19,47.2,7255.82
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293')",2,50,37,1850,True,1009,69,104.0,436.14,289.36,98.56,-127.71,408.26,-533.13,8944.27,58.0,30093.65
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x39d3c773be30fcc73161fc6768f46d563a779ef0')",2,35,55,1925,True,928,63,103.0,359.21,219.71,48.02,-48.56,316.83,-329.05,6326.94,57.1,22630.01
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",2,25,77,1925,True,1436,61,103.7,223.97,131.73,44.8,-47.84,231.17,-1205.43,4530.33,55.7,13662.15
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",2,50,37,1850,True,1199,70,103.7,491.25,331.56,152.78,-68.87,453.39,-470.07,9316.06,62.9,34387.75
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,50,39,1950,True,2342,62,104.6,488.6,289.69,111.01,-196.2,708.41,-2162.14,9060.65,54.8,30293.0
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,40,49,1960,True,920,70,103.6,393.03,265.64,109.22,-44.95,388.37,-376.06,7248.52,64.3,27512.22
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,50,37,1850,True,1543,68,103.3,608.48,400.61,205.57,-88.95,727.51,-1444.14,9736.34,63.2,41376.8
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,40,49,1960,True,1339,60,104.6,574.75,329.77,183.29,-60.7,797.82,-702.0,9992.76,61.7,34484.75
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",2,50,37,1850,True,1281,65,104.7,457.0,283.68,68.6,-102.55,412.2,-732.84,10677.63,55.4,29705.11
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",2,50,37,1850,True,947,75,104.4,424.35,304.77,61.39,-92.67,388.15,-506.77,9880.3,54.7,31826.22
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0')",2,65,30,1950,True,471,29,29.3,270.11,267.48,71.87,-180.12,610.39,-693.07,2299.97,51.7,7833.29
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf')",2,25,74,1850,True,979,32,71.7,15.96,7.12,-23.88,-72.85,125.1,-1084.65,901.64,43.8,510.66
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",2,100,12,1200,True,742,32,30.3,505.3,533.9,410.21,-107.12,1005.48,-1293.33,4123.41,71.9,16169.56
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",2,80,24,1920,True,1885,31,29.9,205.94,213.82,-105.47,-460.29,847.67,-3395.64,4058.08,48.4,6384.05
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",2,80,24,1920,True,463,39,71.3,331.79,181.52,168.89,-60.74,716.28,-672.75,2118.87,69.2,12939.69
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",2,70,28,1960,True,1086,36,94.7,586.2,222.81,146.06,-146.85,887.35,-2768.18,6890.61,58.3,21103.36
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",2,40,50,2000,True,882,31,97.3,433.62,138.17,193.24,-46.22,786.04,-591.19,2651.13,61.3,13442.37
