=== exhaust start 2026-07-25T13:06:11 ===
[2026-07-25T13:06:11] loaded 28 candidate wallets with >=20wk history
[2026-07-25T13:06:11] testing 24157 combos of 1-4 wallets exhaustively
[2026-07-25T13:06:24]   progress: 200/24157 (13s)
[2026-07-25T13:06:35]   progress: 400/24157 (24s)
[2026-07-25T13:06:58]   progress: 600/24157 (47s)
[2026-07-25T13:07:17]   progress: 800/24157 (66s)
[2026-07-25T13:07:34]   progress: 1000/24157 (83s)
[2026-07-25T13:07:50]   progress: 1200/24157 (99s)
[2026-07-25T13:08:05]   progress: 1400/24157 (114s)
[2026-07-25T13:08:26]   progress: 1600/24157 (135s)
[2026-07-25T13:08:46]   progress: 1800/24157 (155s)
[2026-07-25T13:09:10]   progress: 2000/24157 (179s)
[2026-07-25T13:09:36]   progress: 2200/24157 (205s)
[2026-07-25T13:09:52]   progress: 2400/24157 (221s)
[2026-07-25T13:10:11]   progress: 2600/24157 (240s)
[2026-07-25T13:10:29]   progress: 2800/24157 (258s)
[2026-07-25T13:10:44]   progress: 3000/24157 (273s)
[2026-07-25T13:10:57]   progress: 3200/24157 (286s)
[2026-07-25T13:11:17]   progress: 3400/24157 (306s)
[2026-07-25T13:11:32]   progress: 3600/24157 (321s)
[2026-07-25T13:11:55]   progress: 3800/24157 (344s)
[2026-07-25T13:12:19]   progress: 4000/24157 (367s)
[2026-07-25T13:12:44]   progress: 4200/24157 (393s)
[2026-07-25T13:13:12]   progress: 4400/24157 (421s)
[2026-07-25T13:13:42]   progress: 4600/24157 (451s)
[2026-07-25T13:14:08]   progress: 4800/24157 (477s)
[2026-07-25T13:14:47]   progress: 5000/24157 (516s)
[2026-07-25T13:15:15]   progress: 5200/24157 (544s)
[2026-07-25T13:15:43]   progress: 5400/24157 (572s)
[2026-07-25T13:16:11]   progress: 5600/24157 (600s)
[2026-07-25T13:16:38]   progress: 5800/24157 (627s)
[2026-07-25T13:17:01]   progress: 6000/24157 (649s)
[2026-07-25T13:17:27]   progress: 6200/24157 (675s)
[2026-07-25T13:17:52]   progress: 6400/24157 (701s)
[2026-07-25T13:18:17]   progress: 6600/24157 (726s)
[2026-07-25T13:18:37]   progress: 6800/24157 (746s)
[2026-07-25T13:19:00]   progress: 7000/24157 (769s)
[2026-07-25T13:19:24]   progress: 7200/24157 (793s)
[2026-07-25T13:19:45]   progress: 7400/24157 (814s)
[2026-07-25T13:20:18]   progress: 7600/24157 (846s)
[2026-07-25T13:20:40]   progress: 7800/24157 (869s)
[2026-07-25T13:21:02]   progress: 8000/24157 (891s)
[2026-07-25T13:21:25]   progress: 8200/24157 (914s)
[2026-07-25T13:21:46]   progress: 8400/24157 (935s)
[2026-07-25T13:22:03]   progress: 8600/24157 (952s)
[2026-07-25T13:22:23]   progress: 8800/24157 (972s)
[2026-07-25T13:22:43]   progress: 9000/24157 (992s)
[2026-07-25T13:23:02]   progress: 9200/24157 (1011s)
[2026-07-25T13:23:27]   progress: 9400/24157 (1036s)
[2026-07-25T13:23:49]   progress: 9600/24157 (1058s)
[2026-07-25T13:24:14]   progress: 9800/24157 (1083s)
[2026-07-25T13:24:44]   progress: 10000/24157 (1113s)
[2026-07-25T13:25:02]   progress: 10200/24157 (1130s)
[2026-07-25T13:25:25]   progress: 10400/24157 (1154s)
[2026-07-25T13:25:46]   progress: 10600/24157 (1175s)
[2026-07-25T13:26:04]   progress: 10800/24157 (1193s)
[2026-07-25T13:26:20]   progress: 11000/24157 (1209s)
[2026-07-25T13:26:42]   progress: 11200/24157 (1231s)
[2026-07-25T13:26:59]   progress: 11400/24157 (1248s)
[2026-07-25T13:27:23]   progress: 11600/24157 (1272s)
[2026-07-25T13:27:53]   progress: 11800/24157 (1302s)
[2026-07-25T13:28:32]   progress: 12000/24157 (1341s)
[2026-07-25T13:28:55]   progress: 12200/24157 (1363s)
[2026-07-25T13:29:25]   progress: 12400/24157 (1394s)
[2026-07-25T13:29:51]   progress: 12600/24157 (1420s)
[2026-07-25T13:30:16]   progress: 12800/24157 (1445s)
[2026-07-25T13:30:38]   progress: 13000/24157 (1467s)
[2026-07-25T13:31:06]   progress: 13200/24157 (1495s)
[2026-07-25T13:31:30]   progress: 13400/24157 (1519s)
[2026-07-25T13:32:00]   progress: 13600/24157 (1549s)
[2026-07-25T13:32:33]   progress: 13800/24157 (1581s)
[2026-07-25T13:32:53]   progress: 14000/24157 (1602s)
[2026-07-25T13:33:19]   progress: 14200/24157 (1628s)
[2026-07-25T13:33:43]   progress: 14400/24157 (1652s)
[2026-07-25T13:34:04]   progress: 14600/24157 (1673s)
[2026-07-25T13:34:22]   progress: 14800/24157 (1691s)
[2026-07-25T13:34:48]   progress: 15000/24157 (1717s)
[2026-07-25T13:35:08]   progress: 15200/24157 (1737s)
[2026-07-25T13:35:36]   progress: 15400/24157 (1765s)
[2026-07-25T13:36:14]   progress: 15600/24157 (1803s)
[2026-07-25T13:36:53]   progress: 15800/24157 (1842s)
[2026-07-25T13:37:30]   progress: 16000/24157 (1879s)
[2026-07-25T13:38:04]   progress: 16200/24157 (1913s)
[2026-07-25T13:38:37]   progress: 16400/24157 (1946s)
[2026-07-25T13:39:16]   progress: 16600/24157 (1985s)
[2026-07-25T13:39:52]   progress: 16800/24157 (2021s)
[2026-07-25T13:40:18]   progress: 17000/24157 (2047s)
[2026-07-25T13:40:39]   progress: 17200/24157 (2068s)
[2026-07-25T13:40:59]   progress: 17400/24157 (2087s)
[2026-07-25T13:41:13]   progress: 17600/24157 (2102s)
[2026-07-25T13:41:35]   progress: 17800/24157 (2124s)
[2026-07-25T13:41:52]   progress: 18000/24157 (2141s)
[2026-07-25T13:42:12]   progress: 18200/24157 (2161s)
[2026-07-25T13:42:40]   progress: 18400/24157 (2189s)
[2026-07-25T13:43:06]   progress: 18600/24157 (2215s)
[2026-07-25T13:43:30]   progress: 18800/24157 (2238s)
[2026-07-25T13:44:00]   progress: 19000/24157 (2268s)
[2026-07-25T13:44:24]   progress: 19200/24157 (2293s)
[2026-07-25T13:44:50]   progress: 19400/24157 (2319s)
[2026-07-25T13:45:12]   progress: 19600/24157 (2341s)
[2026-07-25T13:45:33]   progress: 19800/24157 (2362s)
[2026-07-25T13:46:01]   progress: 20000/24157 (2390s)
[2026-07-25T13:46:24]   progress: 20200/24157 (2413s)
[2026-07-25T13:46:45]   progress: 20400/24157 (2434s)
[2026-07-25T13:47:05]   progress: 20600/24157 (2454s)
[2026-07-25T13:47:32]   progress: 20800/24157 (2481s)
[2026-07-25T13:47:54]   progress: 21000/24157 (2502s)
[2026-07-25T13:48:12]   progress: 21200/24157 (2521s)
[2026-07-25T13:48:34]   progress: 21400/24157 (2543s)
[2026-07-25T13:48:51]   progress: 21600/24157 (2560s)
[2026-07-25T13:49:10]   progress: 21800/24157 (2579s)
[2026-07-25T13:49:30]   progress: 22000/24157 (2599s)
[2026-07-25T13:49:46]   progress: 22200/24157 (2615s)
[2026-07-25T13:50:07]   progress: 22400/24157 (2636s)
[2026-07-25T13:50:25]   progress: 22600/24157 (2654s)
[2026-07-25T13:50:44]   progress: 22800/24157 (2673s)
[2026-07-25T13:51:14]   progress: 23000/24157 (2703s)
[2026-07-25T13:51:43]   progress: 23200/24157 (2732s)
[2026-07-25T13:52:04]   progress: 23400/24157 (2753s)
[2026-07-25T13:52:22]   progress: 23600/24157 (2770s)
[2026-07-25T13:52:41]   progress: 23800/24157 (2790s)
[2026-07-25T13:53:02]   progress: 24000/24157 (2811s)
[2026-07-25T13:53:18] exhaustive 1-4 done: 24149 valid combos
[2026-07-25T13:53:18] testing 5-6 wallet combos over top 12 solos
[2026-07-25T13:57:50] total combos tested: 25865
[2026-07-25T13:57:50] saved raw results -> /Users/chrisgarceau/pm/exhaust_results.csv
[2026-07-25T13:57:50] === EXHAUST DONE ===
[2026-07-25T13:57:50] report: /Users/chrisgarceau/pm/exhaust_final.txt
[2026-07-25T13:57:50] results: /Users/chrisgarceau/pm/exhaust_results.csv
