train_time_avg,test_time_avg,train_median,test_median,test_p25,test_pct_profitable,train_pct_profitable,test_n_weeks,test_sharpe,robust_time_avg,test_worst_week,test_std,wallets,n_wallets,bet,peak_conc,peak_capital,fits
287.47,802.22,98.56,82.99,-52.65,53.3,56.4,15,0.42,287.47,-178.21,2657.45,0x1cc16713196d456f86fa9c7387dd326a7f73b8df,1,50,37,1850,True
34.1,362.12,-14.43,483.09,-60.56,57.1,47.6,7,0.75,34.1,-246.74,587.84,0x23c8a4c266d10ba5846837eac391fea89ed6f293,1,100,12,1200,True
334.59,32.22,31.1,-29.94,-32.22,40.0,58.8,5,0.24,32.22,-121.67,169.66,0x39d3c773be30fcc73161fc6768f46d563a779ef0,1,65,30,1950,True
182.91,-52.28,182.91,-46.2,-161.92,46.2,100.0,13,-0.1,-52.28,-1205.43,458.51,0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,1,25,74,1850,True
198.17,934.16,245.78,350.43,237.61,100.0,63.6,10,0.67,198.17,20.83,1235.64,0x412fe1a101554f0b382181c3af932e4b2d8030fa,1,100,8,800,True
260.3,-70.79,-396.81,-269.16,-780.2,42.9,46.7,7,-0.07,-70.79,-1050.41,875.71,0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1,1,85,23,1955,True
173.12,172.68,266.56,94.32,-83.51,70.6,93.3,17,0.43,172.68,-593.56,455.87,0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1,1,90,22,1980,True
-20.39,703.19,-85.07,252.87,-39.19,74.1,37.5,27,0.47,-20.39,-1394.58,1546.52,0xfbf3d501e88815464642d0e913f15379c3eeb218,1,70,28,1960,True
-3.37,464.61,-10.39,788.63,281.7,78.6,0.0,14,0.88,-3.37,-700.68,989.87,0x567464a8b6b5794c43282c4a9274e12b48ba8b14,1,40,49,1960,True
55.46,259.19,-152.26,257.98,141.94,75.0,36.8,8,0.77,55.46,-181.55,325.2,0x9d9346b36bfacf6858ae06c7401a72ad09162cf1,1,100,7,700,True
45.31,318.29,-20.57,125.66,-297.06,56.2,40.0,16,0.37,45.31,-509.88,922.7,0x5c6940cefe1dc0cbcc859b62997cc749baa751ca,1,100,13,1300,True
501.87,-125.23,411.59,-54.0,-154.34,0.0,75.0,11,-1.26,-125.23,-265.66,84.07,0xc6174a742b2926f00e683828019cef708ff9cd8e,1,40,50,2000,True
-529.35,-1317.61,-762.59,-310.12,-1366.96,11.1,6.7,9,-0.6,-1317.61,-6945.12,2248.58,0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,1,25,72,1800,True
-260.82,194.52,-241.71,227.48,-132.34,60.0,16.7,10,0.3,-260.82,-671.77,608.47,0x77f623734a71c023f9df91011189eaeef891dbd1,1,100,16,1600,True
527.66,-21.58,-5.62,-31.33,-40.19,16.7,45.0,6,-1.53,-21.58,-40.81,17.47,0xb64fe08cf7ebbf52cf2963bba89deb13b79ddc88,1,25,69,1725,True
136.79,114.02,-17.89,21.83,-6.47,64.3,45.9,14,0.32,114.02,-119.3,639.92,0xd3a6e523c440f94f9259398fbcf7b5cc5ccffd55,1,40,48,1920,True
20.7,428.37,-2.18,6.16,-7.85,57.1,50.0,7,0.38,20.7,-98.74,1293.32,0x7177a7f5c216809c577c50c77b12aae81f81ddef,1,15,107,1605,True
315.3,366.45,223.62,116.03,-71.95,58.3,81.8,12,0.52,315.3,-271.49,806.46,0x5e222c5667c429e79d0e36d580ed1110cc923993,1,35,52,1820,True
968.11,1610.81,734.48,905.63,287.0,92.3,76.7,13,0.64,968.11,-67.28,3412.43,0xaa501f4663c454e94fba8907c42dafcc785a3ed5,1,35,51,1785,True
8.05,-91.42,-3.94,-4.57,-48.11,39.1,48.8,23,-0.3,-91.42,-971.62,297.86,0xd6a39cef30c927c4d57b5cc519f3a2d0332a9738,1,15,108,1620,True
-32.0,-34.53,-90.31,-68.03,-152.2,29.6,32.0,27,-0.27,-34.53,-349.81,160.88,0xe0f3208b94bbd4d1a3dee319d4d574747297d82c,1,60,31,1860,True
-91.96,-41.72,-130.95,-14.36,-184.99,50.0,31.6,6,-0.2,-91.96,-383.01,234.75,0x88d17ad6bf91ca0935f6e70b37ebe3db92b618da,1,100,16,1600,True
