ticker,series,category,p_t,y,volume,close
KXHEARINGMENTION-26JUL15D-TAIW,KXHEARINGMENTION,Mentions,0.53,0,5313.16,2026-07-16T14:42:27Z
KXHEARINGMENTION-26JUL15D-NQE,KXHEARINGMENTION,Mentions,0.04,0,13730.85,2026-07-16T14:42:27Z
KXHEARINGMENTION-26JUL15D-FENT,KXHEARINGMENTION,Mentions,0.67,0,21912.39,2026-07-16T14:42:27Z
KXHEARINGMENTION-26JUL15D-CONT,KXHEARINGMENTION,Mentions,0.35,0,4437.13,2026-07-16T14:42:27Z
KXHEARINGMENTION-26JUL15D-BIOS,KXHEARINGMENTION,Mentions,0.38,0,8788.39,2026-07-16T14:42:27Z
KXHEARINGMENTION-26JUL15D-TARI,KXHEARINGMENTION,Mentions,0.73,1,5966.29,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-SHOR,KXHEARINGMENTION,Mentions,0.72,1,3063.03,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-MANU,KXHEARINGMENTION,Mentions,0.77,1,4500.44,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-COVI,KXHEARINGMENTION,Mentions,0.53,1,6292.64,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-COMM,KXHEARINGMENTION,Mentions,0.69,1,7593.14,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-CHIN,KXHEARINGMENTION,Mentions,0.89,1,3357.75,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15D-AI,KXHEARINGMENTION,Mentions,0.67,1,9949.41,2026-07-16T14:42:17Z
KXHEARINGMENTION-26JUL15C-WHIS,KXHEARINGMENTION,Mentions,0.44,0,670.87,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-TRUMR,KXHEARINGMENTION,Mentions,0.4,0,1664.02,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-TRUM,KXHEARINGMENTION,Mentions,0.55,0,2663.08,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-GLP,KXHEARINGMENTION,Mentions,0.6,0,1937.57,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-AI,KXHEARINGMENTION,Mentions,0.41,0,2953.86,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-AFFO,KXHEARINGMENTION,Mentions,0.81,0,7566.45,2026-07-16T14:27:04Z
KXHEARINGMENTION-26JUL15C-NQE,KXHEARINGMENTION,Mentions,0.09,0,5060.08,2026-07-16T14:27:03Z
KXHEARINGMENTION-26JUL15C-TAXP,KXHEARINGMENTION,Mentions,0.66,1,3900.54,2026-07-16T14:26:55Z
KXHEARINGMENTION-26JUL15C-ADUI,KXHEARINGMENTION,Mentions,0.68,1,3561.02,2026-07-16T14:26:55Z
KXHEARINGMENTION-26JUL15B-VENE,KXHEARINGMENTION,Mentions,0.66,0,633.6,2026-07-15T20:08:24Z
KXHEARINGMENTION-26JUL15B-PAM,KXHEARINGMENTION,Mentions,0.55,0,9224.13,2026-07-15T20:08:24Z
KXHEARINGMENTION-26JUL15B-CHIN,KXHEARINGMENTION,Mentions,0.25,0,3026.06,2026-07-15T20:08:24Z
KXHEARINGMENTION-26JUL15B-AI,KXHEARINGMENTION,Mentions,0.36,0,1415.47,2026-07-15T20:08:24Z
KXHEARINGMENTION-26JUL15B-FBI,KXHEARINGMENTION,Mentions,0.81,1,2825.32,2026-07-15T19:30:53Z
KXHEARINGMENTION-26JUL15B-CRYP,KXHEARINGMENTION,Mentions,0.5,1,5524.58,2026-07-15T19:30:53Z
KXHEARINGMENTION-26JUL15B-WEAP,KXHEARINGMENTION,Mentions,0.75,1,3216.11,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-TERR,KXHEARINGMENTION,Mentions,0.68,1,2140.4,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-MINN,KXHEARINGMENTION,Mentions,0.74,1,4241.6,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-JANU,KXHEARINGMENTION,Mentions,0.73,1,4561.3,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-FENT,KXHEARINGMENTION,Mentions,0.6,1,5837.84,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-EPST,KXHEARINGMENTION,Mentions,0.73,1,9112.29,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-BIDE,KXHEARINGMENTION,Mentions,0.77,1,3842.61,2026-07-15T19:30:52Z
KXHEARINGMENTION-26JUL15B-TRUM,KXHEARINGMENTION,Mentions,0.71,1,2926.24,2026-07-15T19:30:51Z
KXHEARINGMENTION-26JUL15B-FRAU,KXHEARINGMENTION,Mentions,0.78,1,3355.38,2026-07-15T19:30:51Z
