event,n_points,fills,spread_pnl_gross,final_position,outcome_value,total_pnl_at_resolution
Qarabağ Ağdam FK vs. PFK CSKA Sofia - More M,145,25,-2.77,9.0,0.0,-2.78
San Diego Padres vs. Atlanta Braves,150,26,-2.58,6.0,0.0,-2.58
LoL: JD Gaming vs Anyone's Legend (BO3) - LP,155,36,-2.39,-6.0,1.0,-2.4
Valorant: Evil Geniuses vs Leviatán Esports ,130,30,-2.4,6.0,0.0,-2.4
Zug: Norbert Gombos vs Dominic Stephan Stric,45,12,-2.36,6.0,0.0,-2.36
Miami Marlins vs. Houston Astros,146,18,-2.27,4.0,0.0,-2.27
FC St. Gallen vs. Sport Lisboa e Benfica - M,146,32,-2.25,6.0,0.0,-2.25
Counter-Strike: K27 vs Infinite (BO3) - Star,24,7,-2.11,5.0,0.0,-2.11
Hamburg European Open: Oleksandra Oliynykova,40,8,-2.02,-4.0,1.0,-2.02
FK Dynamo Kyiv vs. PAOK,147,16,-1.97,8.0,0.0,-1.98
Beşiktaş JK vs. FC Midtjylland - More Market,146,31,-1.79,5.0,0.0,-1.8
Counter-Strike: Gentle Mates vs paiN (BO3) -,141,15,-1.78,5.0,0.0,-1.79
LoL: Myth Esports vs Dynasty (BO3) - Road Of,93,24,-1.72,4.0,0.0,-1.73
Los Angeles Galaxy vs. St. Louis City SC,147,4,-1.7,4.0,0.0,-1.72
Palermo: Mina Hodzic vs Noemi Basiletti,44,10,-1.68,-2.0,1.0,-1.68
San Jose Earthquakes vs. Orlando City SC - M,147,5,-1.58,5.0,0.0,-1.66
Austin FC vs. Seattle Sounders FC,147,6,-1.59,-2.0,1.0,-1.59
Livesport Prague Open: Mai Hontama vs Lilli ,46,6,-1.25,4.0,0.0,-1.58
Valorant: Eternal Fire vs Team Heretics (BO3,103,18,-1.45,4.0,0.0,-1.45
Zug: Harold Mayot vs Mika Brunold,48,16,-1.13,-2.0,1.0,-1.44
Counter-Strike: NIP vs ECHO (BO3) - StarLadd,22,8,-1.41,-4.0,1.0,-1.41
Tampa Bay Rays vs. Toronto Blue Jays,152,25,-1.0,3.0,0.0,-1.41
Segovia: Alejandro Moro Canas vs Ivan Marrer,39,5,-1.37,-5.0,1.0,-1.37
Palermo: Francesca Jones vs Miriam Bulgaru,39,8,-1.32,-6.0,1.0,-1.33
Bitcoin Up or Down on July 23?,48,21,-1.33,5.0,0.0,-1.33
Palermo: Dalila Spiteri vs Lucia Bronzetti,47,7,-0.96,3.0,0.0,-1.2
Estoril Open: Jaime Faria vs Gonzalo Bueno,41,8,-1.15,-6.0,1.0,-1.15
Winnipeg: Hayato Matsuoka vs Clement Chidekh,45,8,-0.92,4.0,0.0,-1.11
The Hundred: London Spirit vs Manchester Sup,49,9,-1.11,3.0,0.0,-1.11
Valorant: T1 vs VARREL (BO3) - VCT Pacific G,104,46,-1.1,2.0,0.0,-1.1
