wallet_name,entry_ts,exit_ts,entry_price,exit_price,size,hold_hrs,title,topic
?,2026-05-06 19:17:21,2026-05-10 20:53:53,0.29,0.22,5000.0,97.60888888888888,"US x Iran permanent peace deal by May 31, 2026?",iran_israel
?,2026-05-06 19:18:08,2026-05-07 15:31:44,0.154509932,0.276,5000.0,20.226666666666667,"US x Iran permanent peace deal by May 15, 2026?",iran_israel
?,2026-05-07 20:39:39,2026-05-07 21:42:00,0.252434,0.25,1000.0,1.0391666666666666,Iran closes its airspace by May 15?,iran_israel
?,2026-05-07 21:00:14,2026-07-07 04:12:35,0.911,0.978,15091.33,1447.2058333333334,Hantavirus pandemic in 2026?,other
?,2026-05-22 17:43:57,2026-05-23 16:44:33,0.76,0.68,47.76,23.01,"US x Iran permanent peace deal by May 31, 2026?",iran_israel
?,2026-06-02 05:33:47,2026-06-02 06:03:06,0.4,0.39,20.0,0.4886111111111111,"US x Iran permanent peace deal by July 31, 2026?",iran_israel
?,2026-06-02 05:33:47,2026-06-02 06:04:49,0.27,0.27,20.0,0.5172222222222222,"US x Iran permanent peace deal by June 30, 2026?",iran_israel
?,2026-06-02 05:34:03,2026-06-02 06:03:06,0.4,0.39,30.0,0.4841666666666667,"US x Iran permanent peace deal by July 31, 2026?",iran_israel
?,2026-06-02 05:34:03,2026-06-02 06:04:44,0.15,0.14,180.0,0.5113888888888889,"US x Iran permanent peace deal by June 15, 2026?",iran_israel
?,2026-06-02 05:34:03,2026-06-02 06:04:49,0.27,0.27,180.0,0.5127777777777778,"US x Iran permanent peace deal by June 30, 2026?",iran_israel
?,2026-06-02 05:34:04,2026-06-02 06:03:06,0.4,0.39,180.0,0.48388888888888887,"US x Iran permanent peace deal by July 31, 2026?",iran_israel
?,2026-06-02 05:34:29,2026-06-02 06:04:49,0.27,0.27,10.0,0.5055555555555555,"US x Iran permanent peace deal by June 30, 2026?",iran_israel
?,2026-06-02 05:34:31,2026-06-02 06:03:06,0.4,0.39,10.0,0.47638888888888886,"US x Iran permanent peace deal by July 31, 2026?",iran_israel
?,2026-06-02 05:37:40,2026-06-02 06:03:06,0.4,0.39,100.0,0.42388888888888887,"US x Iran permanent peace deal by July 31, 2026?",iran_israel
?,2026-06-02 05:43:33,2026-06-02 06:04:49,0.27,0.27,10.0,0.35444444444444445,"US x Iran permanent peace deal by June 30, 2026?",iran_israel
