proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk,is_weather,resolved
0xb40e89677d59665d5188541ad860450a6e2a7cc9,20574061704209012547931182821181103620430305782603309565796242103008931788479,0xa17aeedaafc5423e4dcc36a59f896ca653630230d84ca80dee65a200438aa2f1,1854.9357,0.6496,1205.0608,1854.0083,648.9474,53.8518,1854.9357,0.0,53.8518,0.9995,False,True,Will the highest temperature in Hong Kong be 33°C on July 22?,highest-temperature-in-hong-kong-on-july-22-2026-33c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,724027,highest-temperature-in-hong-kong-on-july-22-2026,Yes,0,No,10984864048046262789285854165070562168307032150271577587629358907111949728806,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,10984864048046262789285854165070562168307032150271577587629358907111949728806,0xa17aeedaafc5423e4dcc36a59f896ca653630230d84ca80dee65a200438aa2f1,1763.5822,0.3705,653.5165,0.8817,-652.6348,-99.865,1763.5822,0.0,-99.865,0.0005,False,True,Will the highest temperature in Hong Kong be 33°C on July 22?,highest-temperature-in-hong-kong-on-july-22-2026-33c,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,724027,highest-temperature-in-hong-kong-on-july-22-2026,No,1,Yes,20574061704209012547931182821181103620430305782603309565796242103008931788479,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,37519924432083525301778515295013392761534998534208030071329513046714130157978,0x7dab3a056a4823af5822648f317f272de265e14d515458d81e9743661f52ccc3,1036.4369,0.3878,401.953,0.5182,-401.4348,-99.871,1036.4369,0.0,-99.871,0.0005,False,True,Will the highest temperature in London be 25°C on July 22?,highest-temperature-in-london-on-july-22-2026-25c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,723997,highest-temperature-in-london-on-july-22-2026,No,1,Yes,64505137173642697296443583524565462261047703488702627532501108513693920162695,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,37060303915930776223529429686993287809001649238307758955830855212421250569748,0xafa4756911816763c62a4509d687ed90ca20aa4987da3b938e162b559db06b88,895.9137,0.8508,762.2765,895.4657,133.1891,17.4725,895.9137,0.0,17.4725,0.9995,False,True,Will the highest temperature in London be 24°C on July 22?,highest-temperature-in-london-on-july-22-2026-24c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,723997,highest-temperature-in-london-on-july-22-2026,No,1,Yes,69208094408018963269104727410935358493404020372942455033397849016266282649186,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,88100131554627288534421506870590455485636925976092870365519378423694507314944,0x9b5dbd38362ce9461e4f83816e77034f5ba5185a46b6cb05cdddc45d15d2bcc4,891.2437,0.1246,111.0525,4.4562,-106.5963,-95.9872,891.2437,0.0,-95.9873,0.005,False,True,Will the highest temperature in San Francisco be between 76-77°F on July 22?,highest-temperature-in-san-francisco-on-july-22-2026-76-77f,https://polymarket-upload.s3.us-east-2.amazonaws.com/san-francisco-e705a842df.jpg,727283,highest-temperature-in-san-francisco-on-july-22-2026,Yes,0,No,10108909209146570321965282823550522888697173739787859623829396886177961998769,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,64505137173642697296443583524565462261047703488702627532501108513693920162695,0x7dab3a056a4823af5822648f317f272de265e14d515458d81e9743661f52ccc3,885.0344,0.5378,476.0396,884.5919,408.5522,85.8231,885.0344,0.0,85.8231,0.9995,False,True,Will the highest temperature in London be 25°C on July 22?,highest-temperature-in-london-on-july-22-2026-25c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,723997,highest-temperature-in-london-on-july-22-2026,Yes,0,No,37519924432083525301778515295013392761534998534208030071329513046714130157978,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,86606303108627248605981988011296014275542606446146470457781211330492768745515,0xfe1182960ae1e177943e1d3cd0ed3936db82732b74465cdc3b946d1a91ae9501,859.1977,0.64,549.945,24.0575,-525.8875,-95.6254,859.1977,0.0,-95.6254,0.028,False,True,Will the highest temperature in Los Angeles be between 76-77°F on July 22?,highest-temperature-in-los-angeles-on-july-22-2026-76-77f,https://polymarket-upload.s3.us-east-2.amazonaws.com/los-angeles-cdae9380c7.jpg,727282,highest-temperature-in-los-angeles-on-july-22-2026,No,1,Yes,48394137501384739191778192250690198796974703350498063611873985373940537904033,2026-07-22,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,10108909209146570321965282823550522888697173739787859623829396886177961998769,0x9b5dbd38362ce9461e4f83816e77034f5ba5185a46b6cb05cdddc45d15d2bcc4,858.4829,0.8438,724.4368,854.1905,129.7536,17.9109,858.4829,0.0,17.9109,0.995,False,True,Will the highest temperature in San Francisco be between 76-77°F on July 22?,highest-temperature-in-san-francisco-on-july-22-2026-76-77f,https://polymarket-upload.s3.us-east-2.amazonaws.com/san-francisco-e705a842df.jpg,727283,highest-temperature-in-san-francisco-on-july-22-2026,No,1,Yes,88100131554627288534421506870590455485636925976092870365519378423694507314944,2026-07-22,True,True,True
0xb40e89677d59665d5188541ad860450a6e2a7cc9,48394137501384739191778192250690198796974703350498063611873985373940537904033,0xfe1182960ae1e177943e1d3cd0ed3936db82732b74465cdc3b946d1a91ae9501,837.3937,0.3051,255.5106,813.9467,558.436,218.5568,837.3937,0.0,218.5569,0.972,False,True,Will the highest temperature in Los Angeles be between 76-77°F on July 22?,highest-temperature-in-los-angeles-on-july-22-2026-76-77f,https://polymarket-upload.s3.us-east-2.amazonaws.com/los-angeles-cdae9380c7.jpg,727282,highest-temperature-in-los-angeles-on-july-22-2026,Yes,0,No,86606303108627248605981988011296014275542606446146470457781211330492768745515,2026-07-22,True,True,False
0xb40e89677d59665d5188541ad860450a6e2a7cc9,69208094408018963269104727410935358493404020372942455033397849016266282649186,0xafa4756911816763c62a4509d687ed90ca20aa4987da3b938e162b559db06b88,829.0675,0.134,111.1771,0.4145,-110.7626,-99.6271,829.0675,0.0,-99.6271,0.0005,False,True,Will the highest temperature in London be 24°C on July 22?,highest-temperature-in-london-on-july-22-2026-24c,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,723997,highest-temperature-in-london-on-july-22-2026,Yes,0,No,37060303915930776223529429686993287809001649238307758955830855212421250569748,2026-07-22,True,True,True
