wallet,name,ALL_pnl,ALL_vol,ALL_rank,MONTH_pnl,MONTH_vol,MONTH_rank,WEEK_pnl,WEEK_vol,WEEK_rank,DAY_pnl,DAY_vol,DAY_rank
0x56687bf447db6ffa42ffe2204a05edaa20f55839,Theo4,22053933.752321757,43013258.51568201,1,,,,,,,,,
0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,21949796.824001245,1717143570.8428192,2,8580837.38313894,375834081.8660589,1.0,,,,,,
0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,Fredi9999,16619506.631730152,76611316.905154,3,,,,,,,,,
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,11633078.141219154,941905377.1814998,4,1213546.0178446302,151164505.63835195,25.0,105331.37839599745,16888712.022992995,9.0,90007.0912767672,3868073.0076309987,7.0
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,kch123,11386690.875513872,293669714.532206,5,,,,,,,,,
0x96cfcb0c30942cfcd1cdf76c7d408794d66b1acb,mintblade,9238344.623224001,17759922.232853003,6,,,,,,,,,
0xed64a7bf029040aa331abc87902434d815ef217d,fishalive,9063378.176199999,13281460.374667995,7,,,,,,,,,
0xbc11a64ab34a03a043fbe80598fa065ee87eeec6,frostrizz,8928561.11799,23091318.15574806,8,,,,,,,,,
0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,Len9311238,8709972.988069998,16402744.764626998,9,,,,,,,,,
0x664ce9fb97ae1bbd538d7381b2f4e92dab16f49c,sparklingwater123,8474966.272470918,19001698.927902,10,,,,,,,,,
0x09b428f7c2b469786286214aa5c90dd9015f7320,DEEDDIT,8052184.542897382,72132442.51951,11,8052184.542897382,72132442.51951,2.0,,,,,,
0xd235973291b2b75ff4070e9c0b01728c520b0f29,zxgngl,7807265.589240883,40551790.62184698,12,,,,,,,,,
0x3f87d51f27ba6e19ec52aaeebb68559a839c742c,GRIMDRIP,7602742.057861,13603969.275332002,13,,,,,,,,,
0x863134d00841b2e200492805a01e1e2f5defaa53,RepTrump,7532409.671579,13983231.103425,14,,,,,,,,,
0x5e4c3b5b81171e2ca4ab776ac0d6bba787f9dba2,endlessFate,7409836.65260974,26282164.742855996,15,,,,,,,,,
0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,7145143.806038629,804211136.293904,16,2110939.77728816,323202574.13790494,10.0,,,,,,
0xf0318c32136c2db7fec88b84869aee6a1106c80c,BreakTheBank,6724345.503670447,195000884.4931679,17,2296957.2451887215,81179646.777877,9.0,,,,,,
0x8119010a6e589062aa03583bb3f39ca632d9f887,PrincessCaro,6083643.099591745,23520809.95286701,18,,,,,,,,,
0xe9ad918c7678cd38b12603a762e638a5d1ee7091,walletmobile,5942685.45339684,32196692.075936034,19,,,,,,,,,
0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,KeyTransporter,5711459.802519929,20086062.154324993,20,,,,,,,,,
0x885783760858e1bd5dd09a3c3f916cfa251ac270,BetTom42,5642135.735356,11212839.523403002,21,,,,,,,,,
0x23786fdad0073692157c6d7dc81f281843a35fcb,mikatrade77,5147998.544602999,10884765.388775,22,,,,,,,,,
