cid,yes_token,price,volume,days_left,question,n_smart,smart_yes_shares,smart_avg_entry
0xb5c0abeecb5502e6e8d83155c27819174d8317af3c425c3afc5a8c45257a3793,10547381015916960267379463101229159185405356924982461726471550099674011526491,0.072,15767146.07308828,8.1,Will the Fed increase interest rates by 25 bps after the July 2026 mee,1,4356.2672,0.2
0x2be031440c5a571cd4fc3e05e2478d98aee41c7a44d10d3c5e6a24e38b30fabb,51648990218544067436174137903077674890968483826939063393064351432982359534477,0.05,958171.4964899997,11.3,"Will Bitcoin dip to $57,500 in July?",1,15247.7707,0.142
0x636f780f794635820e8cafe81924ef2dd67622fc01b6b2e5e64e9cc99593a005,6077633070230470776652108532581280898684441958087418509077540637819937906663,0.12,2527827.8397770035,11.1,Will Iran announce withdrawal from MOU negotiations by July 31?,0,0.0,
0xb838caec0354e09985f2c228c54ba190cb284f390beda5ffd58d163ba00648ec,95676548525614691656970153001244738030704823210041753577158504248850005676647,0.12,1380225.7808819965,11.1,"US x Iran diplomatic meeting by July 31, 2026?",0,0.0,
0x38903ef70b7d9ee41ea22ef2aec6287e4e6c77ec8702ca741e37d5c5df090a4d,65970969945887890144318439517249678603585471578776397377733204695340866631586,0.082,767084.1211249994,11.3,"Will Bitcoin reach $72,500 in July?",0,0.0,
0x5fe50c3617f3a7385aaaa076897b60ca9312dfe67252b0581a688af31b7961ca,29424857980268640543851417720311184406326142649936223826908355803318790130271,0.07,545630.654518,11.1,Will the US announce withdrawal from MOU negotiations by July 31?,0,0.0,
0x21c77725363b6717538157cf5ce5cf9c69571120870d6def4233257566e07db4,105122145715401868862282894819487928240289369378439043280447797378511530042214,0.1,545337.078666,11.3,Will WTI Crude Oil (WTI) hit (HIGH) $100 in July?,0,0.0,
0x58180f4a69651f67c23ac92845721b2320cc0c76effeb5e79db5288d8d8e6b28,113410960838036610177054042201506207817797370827970598802492258356512540837137,0.12,507105.49549499905,4.1,US x Iran Effective Ceasefire by July 24?,0,0.0,
0x8240c24b4ac5c954241ee6a10cffc627abf676d88b9d7de5b034c2f7c060b00a,111696390093542777743372253154770633634026024336928078383991970477589503016483,0.075,325159.95094699983,10.1,Bab el-Mandeb Strait effectively closed by July 31?,0,0.0,
0x7618e80c410d107b9929455007e4ccf649630ac6aec6a76ebcd04ae9946dd514,102451827870754857819917363477059455981807381920683022472701345996332142120457,0.062,280039.60854999995,8.1,Will the Fed decide differently in the next three decisions (Apr–Jun–J,0,0.0,
0x4a050a1ba7e17d01f69af71e99e0e353ee984e575581030a1f806347972d2d08,62783908215372978221296326108138091886053098174396830047217809817771075416082,0.07,242763.158761,10.1,Will María Corina Machado enter Venezuela by July 31?,0,0.0,
0xfaaa9bfb1d760d6b1ff56a74658ce00603951614bfc88a766e2e73c7616b18a8,53418818717395642215847700141769754936498028108068862975119193310501747206639,0.087,232133.91609899988,11.3,"Will Ethereum reach $2,200 in July?",0,0.0,
0x080f9a1940a57f74e1a418810add5ffeed367ba357f5d9e8b40226ed81a4806b,52297037052047961948880635423329419090381323290184634129409093909890252744609,0.1,215824.0076739997,10.1,Israel closes its airspace by July 24?,0,0.0,
0x5062a23690144ef266851c95571c63af1f8b06b14607fe859b9d3bc7ed9d2813,9838960425978400607865808829770794750674501095370512526040508081525649286338,0.077,192576.48192400037,11.3,Will WTI Crude Oil (WTI) hit (HIGH) $105 in July?,0,0.0,
0x7a2c3834179dd8ff73efd60e4cd984a16e16066f5ca20c863ab9ed6d5c53e139,27449178964284292435325271655254959665189147670542210991408323262385442384746,0.051,192462.56295300022,4.1,"US announces end of Iranian blockade by July 24, 2026?",0,0.0,
0x8b0e301fc552e953579c625ce9adb7409d1852d5bf4879efee849decc1c9dc91,89891528752153609486101967580874619555953075413918489307579877777969507175147,0.13,149651.63028799996,11.1,"US announces end of Iranian blockade by July 31, 2026?",0,0.0,
0x3477b553bbcb1c9f4a30555445ed39df1556535a577ac893403042f4e57b14a1,7951136121458280062518287759749663843943842418243699493553586396535390358215,0.09,117452.04579999993,11.3,Will Silver (XAGUSD) hit (LOW) $50 in July?,0,0.0,
0x41bfaa8f94e9eb7015ea7a336431c42771d8f33fa94b43bee27760a39cf36671,64126299654351293848818818834343349352333039845082988687418577578345035241449,0.13,111879.02092299995,11.3,"Will Gold (XAUUSD) hit (LOW) $3,800 in July?",0,0.0,
0xea70b56a75683f60f13700d1ff677d1c3f29a86153762430f6bb170296066d6b,45541499510645833281919556974413487456385382554586311815133092906434525412563,0.13,109889.13871100004,11.1,"Will 40 ships transit the Strait of Hormuz on any day by July 31, 2026",0,0.0,
