question,daily,min_size,mid,dtr,cap,reason,share_pct,exp_daily,exp_weekly
LoL: Team Vitality vs G2 Esports (BO3) - LEC Regular Se,72.0,500,0.205,1.1,495.0,LoL match (accessible),3.46,2.49,17.42
Will Kimi Antonelli be the 2026 F1 Drivers' Champion?,133.0,50,0.73,134.3,49.95,F1 championship (accessible),0.23,0.31,2.19
Will Cleveland Guardians win the 2026 AL Central title?,51.0,40,0.465,78.3,39.6,MLB divisional title (accessible),0.55,0.28,1.98
Will Lewis Hamilton be the 2026 F1 Drivers' Champion?,37.0,50,0.113,134.3,49.9,F1 championship (accessible),0.41,0.15,1.05
Will Ferrari be the 2026 F1 Constructors' Champion?,50.0,40,0.126,134.3,39.92,F1 championship (accessible),0.22,0.11,0.76
Will Philadelphia 76ers win the 2027 NBA Finals?,39.0,50,0.133,341.3,49.95,championship future (accessible),0.23,0.09,0.62
Will the Los Angeles Dodgers win the 2026 World Series?,126.0,50,0.335,99.3,49.5,championship future (accessible),0.06,0.08,0.55
Will George Russell be the 2026 F1 Drivers' Champion?,25.0,50,0.085,134.3,49.5,F1 championship (accessible),0.23,0.06,0.4
Will Mercedes be the 2026 F1 Constructors' Champion?,47.0,40,0.875,134.3,39.6,F1 championship (accessible),0.11,0.05,0.37
Will the Milwaukee Brewers win the 2026 World Series?,18.0,50,0.088,99.3,49.95,championship future (accessible),0.11,0.02,0.14
Will Oklahoma City Thunder win the 2027 NBA Finals?,83.0,50,0.235,341.3,49.5,championship future (accessible),0.02,0.02,0.13
Will San Antonio Spurs win the 2027 NBA Finals?,62.0,50,0.185,341.3,49.5,championship future (accessible),0.02,0.01,0.1
Will Arsenal win the 2026-27 English Premier League (EP,83.0,50,0.355,310.3,49.5,championship future (accessible),0.01,0.01,0.08
Will the New York Yankees win the 2026 World Series?,39.0,50,0.135,99.3,49.5,championship future (accessible),0.02,0.01,0.06
Will Bayern Munich win the 2026-27 UEFA Champions Leagu,35.0,50,0.135,310.3,49.5,championship future (accessible),0.02,0.01,0.04
Will Bayern Munich win the 2026-27 UEFA Champions Leagu,35.0,50,0.135,310.3,49.5,championship future (accessible),0.02,0.01,0.04
Will Real Madrid win the 2026-27 UEFA Champions League ,35.0,50,0.135,310.3,49.5,championship future (accessible),0.01,0.0,0.03
Will Barcelona win the 2026-27 UEFA Champions League Ch,28.0,50,0.115,310.3,49.5,championship future (accessible),0.01,0.0,0.03
Will Manchester City win the 2026-27 English Premier Le,67.0,50,0.295,310.3,49.5,championship future (accessible),0.01,0.0,0.03
Will New York Knicks win the 2027 NBA Finals?,17.0,50,0.085,341.3,49.5,championship future (accessible),0.01,0.0,0.02
