question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
Will Spider-Man: Brand New Day have the 2nd best dom,127.0,2156,984,0.64,6.0,4.5,20,160.8,179,256,94.0,31.49,39.99,279.9,297.8
Will voter turnout be between 78% and 80% in the 202,115.0,2102,3370,0.31,2.0,5.5,50,105.8,196,283,98.0,29.37,33.78,236.46,241.3
Will Madonna's monthly listeners figure hit 58m by A,100.0,2507,221,0.095,1.0,4.5,20,38.8,387,88,99.0,29.56,29.56,206.91,209.0
Will Raquel Lyra win the Pernambuco Governor electio,41.0,2797,1121,0.325,11.0,5.5,50,72.8,74,5,89.0,71.44,29.29,205.04,230.4
Will João Campos win the Pernambuco Governor electio,53.0,3189,1643,0.53,6.0,5.5,50,72.8,121,60,94.0,52.4,27.77,194.41,206.8
Will Shakira's monthly listeners figure hit 110m by ,100.0,1785,774,0.265,3.0,4.5,20,38.8,361,221,97.0,25.58,25.58,179.03,184.6
Will Ralph Norman win the first round of the South C,110.0,1408,4439,0.13,2.0,4.5,20,18.8,260,410,98.0,22.96,25.25,176.77,180.4
Will Scott Timko win the special election to fill th,261.0,6987,5476,0.795,3.0,4.5,20,25.8,1659,1106,97.0,6.74,17.6,123.22,127.0
Will Shakira's monthly listeners figure hit 107m by ,100.0,1376,855,0.725,3.0,4.5,20,38.8,517,494,97.0,16.5,16.5,115.5,119.1
Will Darline Graham Nordone win the first round of t,262.0,1369,3580,0.755,1.0,4.5,20,18.8,1111,2099,99.0,5.86,15.36,107.52,108.6
Will Toy Story 5 have the 3rd best domestic opening ,213.0,1887,1657,0.78,2.0,4.5,20,160.8,289,2498,98.0,6.69,14.26,99.8,101.8
Will Nigel Farage win 60–70% of votes in the Clacton,43.0,2199,9659,0.355,1.0,4.5,100,341.8,316,259,99.0,25.79,11.09,77.64,78.4
Will a Chinese company have one of the top 5 AI mode,50.0,4218,4439,0.465,1.0,4.5,100,159.8,516,265,99.0,20.37,10.18,71.28,72.0
Will Aisha Wahab win the CA-14 House seat?,311.0,3865,6494,0.875,1.0,4.5,20,102.8,3490,3336,99.0,2.85,8.85,61.96,62.6
Will voter turnout be between 76% and 78% in the 202,124.0,1756,6149,0.325,1.0,5.5,50,105.8,1180,1644,99.0,6.61,8.2,57.4,58.0
Will Taylor Swift be the third most streamed artist ,25.0,1834,1068,0.43,4.0,4.5,50,161.0,309,148,96.0,30.44,7.61,53.27,55.5
Will Jasper Philipsen be awarded the Green Jersey at,86.0,4501,5569,0.114,0.8,4.5,50,16.8,810,2091,99.2,6.45,5.54,38.81,39.1
Will Bruno Fernandes stay at Manchester United?,50.0,1680,1587,0.8845,3.3,4.5,50,39.9,571,1149,96.7,10.42,5.21,36.45,37.7
