wallet,name,verified,all_pnl,all_vol,all_rank,r30_pnl,r30_rank,pol_pnl,pol_rank
0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,False,21934493.961936828,1718770203.8319771,2,8565534.52107449,1.0,,
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,False,11545708.367036153,945395054.475927,4,1126176.2436616346,26.0,,
0x09b428f7c2b469786286214aa5c90dd9015f7320,DEEDDIT,False,8052184.542897382,72132442.51950999,11,8052184.542897382,2.0,,
0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,False,7179671.111727219,805278923.0647701,16,2145467.08297675,10.0,212940.51497522247,232.0
0xf0318c32136c2db7fec88b84869aee6a1106c80c,BreakTheBank,False,6724276.366773079,195000884.49316803,17,2296888.108291354,9.0,,
0x006cc834cc092684f1b56626e23bedb3835c16ea,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,False,4718525.655723586,64255999.26230098,25,24978.659393780836,835.0,,
0xe549581668a5751c1972d3ad2d1991d900bd2d54,Allezpapa,False,4280722.833949986,54987532.64997202,29,2835915.542910125,5.0,,
0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,False,4236955.041322034,476801375.39133936,30,34527.13313438331,615.0,,
0x5966db1fe50763c9e3c014d756369bad07e1f804,0x5966Db1fE50763C9e3C014d756369BAd07E1F804-1777648534241,False,3582414.8586175856,28365376.579825003,38,538306.1711565846,47.0,,
0x476e1322d1a412fa0325527b8c3bc5e707b1396d,asparagus2012,False,3562639.5541690006,8005463.485680999,39,3663920.5781502756,3.0,,
0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,,False,3375790.3940354395,69042871.01054099,42,1656032.2074352144,16.0,,
0xee00ba338c59557141789b127927a55f5cc5cea1,S-Works,False,3185717.4666504557,207284765.24794003,43,407851.81675449805,64.0,,
0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,ndb1,False,2931905.7217909344,107803659.94094598,48,2045521.736971759,11.0,,
0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,CandleHammerDrums,False,2303071.364477181,41638224.88900099,62,1886129.2414188785,13.0,,
0x0c0e270cf879583d6a0142fc817e05b768d0434e,The Spirit of Ukraine>UMA,False,2206861.9223603816,123893588.993319,64,131659.09757131294,185.0,1402069.6495374986,26.0
0x095fbca2e0eaf0c9841005135427e1e0117190b2,muchobliged,False,2156299.3590370473,31098832.840419002,67,2029201.1884442111,12.0,,
0x65018f9fc473f6e920b8929a375d39c26a461220,cnyek,False,2155061.945225021,12155094.093244996,68,1404350.9311804548,19.0,,
0xb61b2079b95f6b7476fd3203e0274ffb93308a06,hot2trot,False,2145025.7986243973,13650894.241732001,69,1514615.0469502301,18.0,,
0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,weatherman12,False,2098409.0744423736,45849716.23284201,70,1822552.7223731182,14.0,,
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,elmcap2,False,2010769.4893614186,277348610.333692,73,18817.196352458217,1045.0,787731.1125034709,46.0
0x9cb990f1862568a63d8601efeebe0304225c32f2,jtwyslljy,False,2001889.9693512216,84292923.28752398,75,48637.27936493963,464.0,,
0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,False,1955031.2021551654,114968593.82999896,78,70011.57431579009,330.0,,
0x83720820a8aa6c3f20ad71850e7a1a17d16c5223,Jsram,False,1952580.248473143,57689168.72215601,79,2733613.5363176595,6.0,,
0x5b4ec9c06b284ee52c41a761974d836992880232,ramadamaramadam,False,1872516.5320465718,26598216.751612,84,2619489.8367129234,7.0,,
0xfe787d2da716d60e8acff57fb87eb13cd4d10319,ferrariChampions2026,False,1771271.0995017164,623827536.6505189,90,661893.5699394402,40.0,,
0xf5fabdcdc6eb6d9765a228824f16cca9c91f62df,palegrit,False,1749103.885009,15351970.640072,92,1692746.9304200695,15.0,,
0x9ee8bbc36d378af72e5f6b8e2ea2eb67c05a89de,Qpkwks,False,1742345.3924961956,25794745.288652997,93,716044.2685904548,37.0,,
0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,False,1591569.2888804167,47493253.89084701,99,50562.242698235525,454.0,2082957.9557643568,18.0
0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,DLEK,False,1531157.1583475815,35920814.950054,102,498248.7963347936,52.0,,
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,Car,True,1487072.2159624351,174478651.903103,108,31181.253423896116,668.0,1059530.080690242,32.0
0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b,Cannae,False,1480975.2937303747,120960758.07224399,110,104363.42527179257,222.0,,
